"sample","input","filtered","denoised_f","denoised_r","merged","nonchim"
"ERR8157527",156986,130859,127794,129333,8326,64009
"ERR8157528",144116,118693,115465,117316,9644,66446
"ERR8157529",156303,131260,129277,130102,9348,75115
"ERR8157530",152186,124935,121143,123325,10915,61305
"ERR8157531",158799,129981,128176,128962,8647,76331
"ERR8157532",158334,130994,127885,129600,9927,75550
"ERR8157533",131382,103944,102396,103202,5947,64128
"ERR8157534",132040,108263,106737,107380,8492,56248
"ERR8157535",153020,116806,115358,115871,5248,67880
"ERR8157536",161560,135538,133509,134485,7965,66036
"ERR8157537",204149,163455,160164,161760,8796,95612
"ERR8157538",163885,135085,130602,132945,9766,74398
"ERR8157539",126538,105579,102921,104292,6180,67674
"ERR8157540",122702,101825,97292,99813,6867,55759
"ERR8157541",140894,116943,115216,116102,6818,67037
"ERR8157542",164013,136757,133610,134981,10263,71193
"ERR8157543",179217,145991,141317,143966,6936,94041
"ERR8157544",140780,116742,114871,115810,8167,69409
"ERR8157545",134545,108304,106670,107605,6995,65160
"ERR8157546",144822,120232,117843,119070,7453,74012
"ERR8157547",159839,133973,130867,132537,7730,81467
"ERR8157548",154448,124097,121327,122473,8245,73680
"ERR8157549",160219,135042,132105,133518,8154,75112
"ERR8157550",172341,143689,142315,142736,7781,92659
"ERR8157551",167492,141894,140162,140738,10925,74157
"ERR8157552",142490,112593,111671,112048,6916,62078
"ERR8157553",160387,136377,134884,135585,6875,80956
"ERR8157554",153039,128659,126834,127909,5893,87943
"ERR8157555",154008,126699,124697,125519,9048,70928
"ERR8157556",154693,134019,132871,133288,6149,76705
"ERR8157557",156835,132036,130865,131409,8064,69602
"ERR8157558",149783,127958,127149,127230,4874,76277
"ERR8157559",147827,122762,120548,121719,7762,67716
"ERR8157560",160036,131788,129148,130552,8607,80679
"ERR8157561",151258,126179,124009,124539,9436,67298
"ERR8157562",204052,152057,150800,151351,6026,103746
"ERR8157563",181950,135680,133681,134660,8260,82488
"ERR8157564",193394,140456,138924,139490,8675,79615
"ERR8157565",202827,147313,143494,144989,8323,81077
"ERR8157566",199829,146293,143960,145154,8763,81165
"ERR8157567",172011,122064,120592,121205,6237,72218
"ERR8157568",198065,137363,133406,135794,7734,85277
"ERR8157569",196732,148688,146986,147491,8327,80024
"ERR8157570",226246,172733,168727,170790,10921,93826
"ERR8157571",185236,134920,132663,133732,10195,75169
"ERR8157572",225375,168655,165466,166693,8890,95666
"ERR8157573",229365,174513,172633,173381,8936,101709
"ERR8157574",184390,133848,128252,131529,8822,71915
"ERR8157575",167368,116869,115937,116309,5130,78089
"ERR8157576",172577,124054,119949,121914,7678,69496
"ERR8157577",191981,138858,137769,138347,5137,95363
"ERR8157578",189571,136496,134029,135077,8366,75624
"ERR8157579",213913,155256,152495,153787,7621,100195
"ERR8157580",178187,134887,133302,133831,7000,83528
"ERR8157581",177221,131276,130080,130513,5186,85483
"ERR8157582",187424,139189,138103,138620,5406,89924
"ERR8157583",197576,143496,142131,142758,7172,85045
"ERR8157584",201452,140978,135808,138616,10076,72962
"ERR8157585",216463,160512,158287,159499,9193,85862
"ERR8157586",197392,144728,142441,143393,10770,73824
"ERR8157587",192239,140105,135901,137969,9794,76410
"ERR8157588",201566,140914,138065,139488,8800,86091
"ERR8157589",199564,139246,135295,137408,6755,83630
"ERR8157590",199213,142164,138651,140573,8914,79576
"ERR8157591",177300,132791,130870,131483,7962,83561
"ERR8157592",204207,151440,149780,150205,6915,86498
"ERR8157593",191320,139578,135862,137474,7136,79893
"ERR8157594",217741,155923,152985,154744,8983,93784
"ERR8157595",203407,150888,146963,148696,10503,80821
"ERR8157596",143887,120725,117792,119090,9322,69757
"ERR8157597",161540,137506,136131,136650,8671,81012
"ERR8157598",145001,120300,116372,118516,10204,58241
"ERR8157599",154217,128200,125454,126716,9690,67628
"ERR8157600",175588,146472,144180,144986,9066,86224
"ERR8157601",181665,152745,150310,151442,8836,92963
"ERR8157602",158861,135103,133307,134245,7617,86622
"ERR8157603",173556,147700,145722,146460,10500,82716
"ERR8157604",171939,140957,139592,140291,6267,98314
