"","[Clostridium] innocuum group","[Eubacterium] brachy group","[Eubacterium] eligens group","[Eubacterium] fissicatena group","[Eubacterium] hallii group","[Eubacterium] nodatum group","[Eubacterium] oxidoreducens group","[Eubacterium] ruminantium group","[Eubacterium] siraeum group","[Eubacterium] ventriosum group","[Eubacterium] xylanophilum group","[Ruminococcus] gauvreauii group","[Ruminococcus] gnavus group","[Ruminococcus] torques group","Abiotrophia","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinobacillus","Actinomyces","Actinotignum","Adlercreutzia","Agathobacter","Aggregatibacter","Akkermansia","Aliihoeflea","Alistipes","Allisonella","Alloprevotella","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Angelakisella","Aquamonas","Asaccharobacter","Asaccharospora","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevundimonas","Bulleidia","Butyricicoccus","Butyricimonas","CAG-352","CAG-56","CAG-873","Caldicoprobacter","Campylobacter","Candidatus Hepatoplasma","Candidatus Saccharimonas","Candidatus Soleaferrea","Candidatus Stoquefichus","Catabacter","Catenibacillus","Catenibacterium","Cellulosilyticum","Cetobacterium","Chelativorans","CHKCI001","CHKCI002","Christensenella","Christensenellaceae R-7 group","Chryseobacterium","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridioides","Clostridium sensu stricto 1","Clostridium sensu stricto 13","Colidextribacter","Collinsella","Comamonas","Companilactobacillus","Conservatibacter","Coprobacillus","Coprobacter","Coprococcus","Coriobacteriaceae UCG-003","Corynebacterium","Cronobacter","Cryptobacterium","Cuneatibacter","Curvibacter","Defluviitaleaceae UCG-011","Delftia","Desulfovibrio","Dialister","Dielma","DNF00809","Dorea","DTU089","Dysgonomonas","Edwardsiella","Eggerthella","Eisenbergiella","Empedobacter","Enorma","Enterobacter","Enterococcus","Enterorhabdus","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae UCG-003","Escherichia-Shigella","Eubacterium","Ezakiella","F0332","Facklamia","Faecalibacterium","Faecalicoccus","Faecalitalea","Family XIII AD3011 group","Family XIII UCG-001","Fastidiosipila","Fenollaria","Finegoldia","Flavonifractor","Fournierella","Frisingicoccus","Fructilactobacillus","Fusicatenibacter","Fusobacterium","Gallicola","Gardnerella","GCA-900066575","GCA-900066755","Gemella","Gordonibacter","Granulicatella","Haemophilus","Hafnia-Obesumbacterium","Halarcobacter","Halomonas","Harryflintia","Herbaspirillum","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Hypnocyclicus","Incertae Sedis","Intestinibacter","Intestinimonas","Klebsiella","Kurthia","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lachnospiraceae FCS020 group","Lachnospiraceae NC2004 group","Lachnospiraceae ND3007 group","Lachnospiraceae NK4A136 group","Lachnospiraceae UCG-001","Lachnospiraceae UCG-003","Lachnospiraceae UCG-004","Lachnospiraceae UCG-008","Lachnospiraceae UCG-010","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Lawsonella","Lelliottia","Leuconostoc","Levilactobacillus","Ligilactobacillus","Limosilactobacillus","Lysinibacillus","Mailhella","Malaciobacter","Marvinbryantia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Mitsuokella","Mobiluncus","Mogibacterium","Monoglobus","Morganella","Murdochiella","Muricauda","Murimonas","Negativibacillus","Negativicoccus","Neisseria","Nesterenkonia","NK4A214 group","Nosocomiicoccus","Oceanicaulis","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Paenalcaligenes","Paeniclostridium","Paludicola","Papillibacter","Parabacteroides","Paraclostridium","Paracoccus","Paraeggerthella","Paraprevotella","Parascardovia","Parasutterella","Parvibacter","Parvimonas","Pediococcus","Pelagibacterium","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Photobacterium","Pluralibacter","Porphyromonas","Prevotella","Prevotella_7","Prevotella_9","Prevotellaceae Ga6A1 group","Prevotellaceae NK3B31 group","Prevotellaceae UCG-001","Prevotellaceae UCG-003","Propionigenium","Proteiniphilum","Proteus","Providencia","Pseudocitrobacter","Pseudoclavibacter","Pseudoflavonifractor","Pseudoglutamicibacter","Pseudomonas","Pseudoramibacter","Pseudoscardovia","Pygmaiobacter","Pyramidobacter","Raoultella","Raoultibacter","Rikenellaceae RC9 gut group","Robinsoniella","Romboutsia","Roseburia","Rothia","Ruminiclostridium","Ruminococcus","S5-A14a","Salmonella","Sanguibacteroides","Sarcina","Scardovia","Sediminibacterium","Sediminispirochaeta","Selenomonas","Sellimonas","Senegalimassilia","Serratia","Shuttleworthia","Slackia","Solobacterium","Sphingobacterium","Sphingomonas","Staphylococcus","Stenotrophomonas","Stomatobaculum","Streptococcus","Subdoligranulum","Succinivibrio","Sunxiuqinia","Sutterella","Synergistes","Tepidimicrobium","Terrisporobacter","TM7a","TM7x","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UC5-1-2E3","UCG-002","UCG-003","UCG-005","UCG-007","UCG-009","Unknown","Veillonella","Vibrio","Victivallis","W5053","Weissella","Wohlfahrtiimonas","ZOR0006"
"SRR11825857",0,9,1,0,39,3,0,0,0,0,0,82,83,465,2,0,0,0,0,80,0,6,2065,0,4,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,41,0,206,8,63,20,216,0,0,514,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,82,0,1,0,0,0,107,0,0,310,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,41,0,0,0,0,432,2241,0,0,0,0,375,0,0,4,0,0,1,0,0,1,0,0,8,0,0,0,0,0,14,0,0,3,0,0,0,0,0,1023,0,43,3,0,0,1,54,0,682,0,0,131,3,2,0,16,53,0,0,0,0,0,0,0,2,0,0,0,0,0,0,111,2,0,0,0,4,0,0,0,0,0,0,0,53,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,8,0,0,0,0,0,228,41,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,203,12,0,403,0,0,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,0,0,264,4386,0,0,0,0,0,0,0,5,0,0,18,7,0,73,0,1,0,0,2672,0,0,0,0,22,0,0
"SRR11825858",16,23,0,0,9,0,0,13,0,0,0,9,2,515,0,0,3,0,0,5,0,21,376,0,5,0,22,0,0,0,0,2,0,0,0,0,8,6,0,0,0,0,0,0,0,9424,1,6,2,363,0,0,23,17,0,7,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,1,16,0,4,0,0,0,7,0,0,4565,0,0,0,0,0,151,0,0,0,0,0,0,0,0,3,0,2,0,298,0,0,0,0,0,0,0,29,0,0,0,1,0,14,5,0,0,0,2499,0,0,72,6,0,16,0,54,0,0,0,52,0,0,0,0,1,0,18,0,0,0,0,0,0,0,133,12,0,0,14,0,80,91,1,25,0,0,26,0,18,0,0,6,0,0,1,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,6,0,0,0,24,0,0,0,0,0,0,0,0,20,0,0,6,0,0,11,0,0,0,0,0,4,151,0,0,0,2,0,3,0,0,0,0,0,0,0,8,0,0,0,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,0,0,40,15,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1572,0,0,3,0,0,0,0,8,0,0,0,59,0,48,4,5,0,0,1645,0,0,0,0,4,0,0
"SRR11825859",0,1,3,0,2,0,0,189,0,40,0,5,0,98,0,0,0,0,0,5,0,26,9396,0,2,0,64,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,96,0,127,0,254,0,0,82,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,10,0,0,52,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,7,0,0,84,0,0,0,1,0,0,0,3,0,0,0,0,13,605,0,0,0,0,5787,0,0,0,0,0,0,0,6,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,36,25,0,12,0,0,41,4,0,0,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,0,0,0,0,0,97,0,0,0,0,0,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,506,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,777,0,0,0,0,0,15,0,0,20,0,0,16,0,11,1,0,0,0,939,0,0,0,0,0,0,0
"SRR11825860",0,0,175,0,2,0,0,1,0,6,0,16,2,21,0,0,1,0,0,0,0,5,765,0,0,0,64,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,662,2,33,2,79,0,0,85,0,2,167,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,15,0,14,0,0,0,9,0,0,13,0,0,0,13,0,20,0,0,0,0,0,0,0,0,23,222,0,0,24,0,0,0,2,0,0,0,842,0,0,0,0,11,73,0,0,0,0,9664,0,0,2,7,0,0,0,11,0,0,0,2,65,0,0,0,0,0,0,0,17,0,0,1,0,0,25,4,2,2,0,0,0,10,0,4638,0,0,105,35,4,0,64,165,0,0,3,0,55,0,0,1,23,0,0,0,0,0,34,14,0,0,0,0,0,33,0,0,4,0,0,119,0,0,0,0,6,0,0,0,2,0,0,8,2,0,4,0,1,0,0,3,0,21,0,0,0,14,0,0,0,0,0,2,5,0,2,6,0,0,0,0,75,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,344,0,0,68,0,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,3,224,168,0,0,5,0,0,0,0,1,0,0,0,7,0,54,12,2,0,0,1284,774,0,0,0,0,0,0
"SRR11825861",15,0,2,0,14,0,0,0,0,0,0,0,11,7,0,0,0,0,0,2,0,0,1287,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,628,0,5502,0,229,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,0,0,0,0,0,0,460,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,15,0,0,9,0,0,0,8,0,0,0,4,2,0,0,21,62,204,0,0,0,0,129,0,0,2,0,0,0,0,49,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,12,1,0,506,0,0,172,15,0,0,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,167,0,0,46,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,10,21295,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,517,2,0,0,0,4,0,0
"SRR11825862",1,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,47,0,0,2,0,0,0,1,0,0,0,0,56,0,9785,0,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32,0,0,0,2,14,0,0,4,439,0,0,40,0,360,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,175,0,28,1,0,99,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,209,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,94,43,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,433,1,0,0,0,0,0,0
"SRR11825863",3,0,29,0,31,0,0,0,55,0,0,0,6,13,0,0,0,0,0,0,0,14,1430,0,5151,0,159,0,0,0,0,7,0,0,0,0,46,0,0,0,0,0,0,0,0,89,0,28,5,307,0,0,108,0,305,0,0,0,0,0,0,15,0,2,0,0,0,0,2,0,0,9,4,0,0,0,0,0,76,0,68,116,0,0,0,1,0,125,0,2,0,0,0,0,24,0,0,4219,0,0,51,50,0,0,10,15,0,0,2,4,0,0,9,0,121,0,0,0,0,614,0,0,2,3,0,0,0,2,0,0,0,89,0,0,0,0,0,0,15,0,0,0,0,8,0,0,0,27,0,0,0,0,47,14,21,3,0,0,206,19,3,0,18,639,28,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,1,135,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,91,0,0,0,0,0,0,0,2,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,936,0,0,35,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,1083,0,0,0,0,0,3,0,0,7,0,15,66,0,181,9,0,0,12,3132,0,0,0,0,0,0,0
"SRR11825864",0,0,0,0,24,0,0,0,0,46,0,15,38,52,0,0,0,0,0,105,0,0,3,0,0,0,0,51,0,0,0,0,0,3,0,0,95,0,0,0,4,0,0,2,0,223,0,701,0,291,0,6,394,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0,0,31,0,2,0,0,0,0,0,0,4,36,0,0,169,0,0,0,0,1,0,0,12,1,0,0,2,0,141,0,0,0,0,7107,0,13,0,0,0,1,0,0,0,0,0,58,31,0,0,0,0,36,0,8,118,0,0,3,0,0,0,0,0,0,0,0,4,0,0,12,0,8,330,121,1,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,2,0,0,0,20,0,124,0,3,0,0,0,0,11,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,23,126,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,8,2908,162,0,0,0,0,0,0,0,12,1,3,737,4,0,5,0,0,0,0,303,508,0,0,0,0,0,0
"SRR11825865",4,0,104,0,5,6,0,548,0,44,25,0,0,48,0,2,0,0,0,0,0,0,2907,0,76,0,83,0,0,0,0,0,1,0,0,0,19,9,0,0,0,0,0,0,0,92,2,85,0,119,0,0,196,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,108,0,32,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,1035,0,0,31,0,0,0,1,38,0,0,0,0,0,0,0,155,3,0,0,0,0,5515,0,13,0,0,0,0,0,85,3,7,0,52,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,31,0,0,8,0,14,39,17,0,0,0,107,55,0,7,13,212,60,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,27,0,0,0,0,0,0,0,0,77,0,0,0,0,0,13,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1327,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,0,2,8,0,6,37,0,4,0,81,0,0,1339,4,0,0,0,0,0,0
"SRR11825866",0,0,68,0,3,0,0,160,5,8,24,14,2,0,0,0,0,0,0,4,0,0,90,0,94,0,323,13,0,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,274,167,39,0,115,0,0,119,2,87,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,7,0,5,98,0,0,0,0,0,145,0,0,0,0,0,0,2,0,9,1343,0,0,34,1,0,0,0,5,0,0,0,0,0,0,0,5,23,0,0,0,0,7519,0,0,9,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,25,0,0,4,0,0,12,0,3,0,0,0,14,247,0,5,0,0,42,185,0,0,33,112,16,0,1,0,8,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,13,0,3,5,0,0,5,0,0,0,0,59,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,38,0,30,0,0,0,0,0,0,0,8,0,0,0,0,0,2,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,41,1068,0,0,197,0,0,0,0,2,0,0,0,2,11,0,0,0,0,0,0,0,0,0,253,3249,0,0,0,0,0,3,0,6,0,0,0,7,0,197,3,372,0,0,1001,403,0,0,0,0,0,0
