"sample","input","filtered","denoised_f","denoised_r","merged","nonchim"
"SRR11825857",40414,32171,31611,31882,2369,18960
"SRR11825858",51767,39418,38777,39086,2917,22820
"SRR11825859",45192,35497,35277,35317,2194,19895
"SRR11825860",45578,36186,35461,35800,2541,21832
"SRR11825861",63719,48783,48457,48597,2300,32172
"SRR11825862",37215,27065,26863,26887,1137,15491
"SRR11825863",46010,34860,34091,34574,2576,20500
"SRR11825864",41398,31712,30830,31168,2173,16641
"SRR11825865",40453,32480,31784,32112,2164,16305
"SRR11825866",54716,42425,41409,41999,3126,19667
"SRR11825867",43575,33576,33198,33376,1796,21449
"SRR11825868",47465,36472,35459,36054,2820,17400
"SRR11825869",43622,35191,34642,35007,2193,20891
"SRR11825870",50788,38367,37759,38087,2370,24528
"SRR11825871",53857,41710,40743,41196,3865,20566
"SRR11825872",54648,42719,42088,42418,2893,16900
"SRR11825873",28873,21560,21099,21360,553,17165
"SRR11825874",43085,33192,32586,32898,2436,18697
"SRR11825875",65447,50302,49267,49865,4990,22936
"SRR11825876",54214,41440,41087,41284,1347,33232
"SRR11825877",51754,39769,39310,39527,2893,22324
"SRR11825878",54225,42609,41470,41988,3017,24464
"SRR11825879",67331,50889,49935,50364,2843,30648
"SRR11825880",56191,43315,43054,43181,1502,33943
"SRR11825881",47043,36910,35936,36411,3203,15642
"SRR11825882",49866,39526,38774,39200,2947,20980
"SRR11825883",66168,50584,49467,50078,5096,22463
"SRR11825884",41912,31514,30971,31227,2836,12873
"SRR11825885",53600,41111,39396,40209,3517,19307
"SRR11825886",47559,36843,35901,36439,2566,20371
"SRR11825887",47494,37917,36622,37292,2583,21304
"SRR11825888",63102,48213,47544,47856,2936,26791
"SRR11825889",61481,48372,47729,48054,4151,22379
"SRR11825890",51899,40616,40128,40384,2089,21974
"SRR11825891",40523,32304,31818,32005,1523,21685
"SRR11825892",71869,55508,53873,54845,4827,26727
"SRR11825893",56540,43811,43685,43696,1231,34175
"SRR11825894",53745,41722,40735,41297,3736,19510
"SRR11825895",45298,34684,34010,34312,3700,14764
"SRR11825896",34366,25928,25396,25674,1781,15849
"SRR11825897",36882,28281,25847,27260,2127,12282
"SRR11825898",54287,42286,41552,41940,3637,19837
"SRR11825899",48971,38089,37294,37715,3660,16905
"SRR11825900",39558,29824,29459,29654,748,24364
"SRR11825901",51077,39060,38822,38839,1330,27005
"SRR11825902",57851,43126,42207,42801,1033,34651
"SRR11825903",52055,40347,39827,40051,2431,24906
"SRR11825904",42946,33973,33817,33884,803,29058
"SRR11825905",43472,33774,33303,33525,1040,25096
"SRR11825906",64056,47504,47238,47366,1486,29602
"SRR11825907",57828,43462,42183,42924,2814,25355
"SRR11825908",60783,47137,46620,46889,1360,37966
"SRR11825909",48388,37778,36988,37510,2047,28343
"SRR11825910",49430,37573,37221,37294,1755,22467
"SRR11825911",47866,37277,36390,36861,2492,21191
"SRR11825912",46251,36073,35194,35609,2183,20248
"SRR11825913",58210,43513,41774,42719,3260,23261
"SRR11825914",61771,45280,45177,45225,301,42733
"SRR11825915",69198,52740,51662,52258,5164,22763
"SRR11825916",51251,40413,39772,40159,3239,19188
"SRR11825917",51588,41518,40937,41130,2114,23975
"SRR11825918",68049,52671,51372,52077,3980,28423
"SRR11825919",58059,44859,44758,44805,889,36982
"SRR11825920",57712,42536,42022,42214,1858,29025
"SRR11825921",50642,39295,38581,38997,1875,24986
"SRR11825922",71552,53344,52097,52845,2936,31227
"SRR11825923",38245,26875,26781,26792,607,19830
"SRR11825924",35675,25611,24955,25327,1124,16917
"SRR11825925",26771,20141,19954,20058,545,16789
"SRR11825926",40840,30413,30146,30266,1267,20796
"SRR11825927",35157,25680,25523,25624,987,18225
"SRR11825928",36569,28311,27866,28137,1851,15499
"SRR11825929",46169,34696,33422,34204,3936,15131
"SRR11825930",33925,24637,23943,24349,915,17780
"SRR11825931",45801,35454,34945,35134,1758,23670
"SRR11825932",42926,31553,30918,31326,1486,22198
"SRR11825933",33346,26364,25539,26040,2160,13255
"SRR11825934",42188,32373,31208,31768,3421,13664
"SRR11825935",38328,29103,29013,29002,988,19440
"SRR11825936",41340,30474,30211,30346,919,23585
"SRR11825937",39395,30988,30167,30656,2454,16533
"SRR11825938",46075,35245,34795,34978,2878,18306
"SRR11825939",43602,32414,31840,32078,1501,22361
"SRR11825940",38276,28787,28685,28721,505,26013
"SRR11825941",30416,23475,23402,23407,766,17331
"SRR11825942",41214,32011,31672,31836,867,23879
"SRR11825943",53572,41318,40787,41045,3888,18288
"SRR11825944",48490,37871,36661,37357,2484,20999
"SRR11825945",41889,31904,31576,31779,926,24153
"SRR11825946",39656,31209,30028,30731,1883,17913
"SRR11825947",54568,40840,39425,40295,2152,28008
"SRR11825948",52194,39762,39229,39535,1717,25144
"SRR11825949",44492,34444,34048,34165,2115,16765
"SRR11825950",47665,38270,37764,38038,2882,19531
"SRR11825951",65969,48383,47817,48105,2256,32491
"SRR11825952",35925,25871,25254,25633,1370,15651
"SRR11825953",55399,42882,41834,42346,3645,21221
"SRR11825954",42705,32327,32176,32249,592,27842
"SRR11825955",41437,32495,32088,32254,1509,20246
"SRR11825956",67635,51622,50855,51216,3690,29649
"SRR11825957",53939,41946,41403,41687,3355,20534
"SRR11825958",51496,39599,39219,39302,1547,25942
"SRR11825959",54145,43181,42989,43080,576,38823
"SRR11825960",60814,45497,45028,45252,1351,35841
"SRR11825961",48740,37370,36105,36830,4099,14749
"SRR11825962",40722,31430,29986,30852,3108,14437
"SRR11825963",42494,31966,31283,31645,1250,22568
"SRR11825964",41385,32117,31807,32047,636,26028
"SRR11825965",53745,40881,40050,40394,3707,18023
"SRR11825966",52121,40588,39425,40056,4125,17622
"SRR11825967",40949,31383,29804,30671,2496,15804
"SRR11825968",43088,34367,33227,33798,3132,17870
"SRR11825969",57118,42779,42620,42655,784,36056
"SRR11825970",47203,36391,35761,35683,1804,19570
"SRR11825971",51267,38957,38568,38719,1107,28223
"SRR11825972",45282,34571,33985,34256,2057,20223
"SRR11825973",49311,37340,36501,36991,945,29954
"SRR11825974",62823,46069,45902,45967,1025,30742
"SRR11825975",56736,42707,42285,42430,929,36454
"SRR11825976",48603,36857,36482,36576,974,26658
"SRR11825977",47880,37518,37148,37249,1286,26639
"SRR11825978",59540,45331,44680,44950,2150,28305
"SRR11825979",46847,34959,34184,34583,1495,25790
"SRR11825980",59158,44210,43605,43947,1527,34983
"SRR11825981",48903,36001,35736,35873,367,33072
"SRR11825982",47811,37034,35779,36548,1203,27147
"SRR11825983",70369,52539,50677,51885,1805,35013
"SRR11825984",55555,42734,42107,42280,1296,30856
"SRR11825985",50296,38403,37443,37889,1593,25054
"SRR11825986",49864,38379,37859,38141,1912,25113
"SRR11825987",66107,50984,49878,50346,2645,24652
"SRR11825988",64676,50830,50063,50420,2028,29393
"SRR11825989",58930,45017,44416,44726,1855,26954
"SRR11825990",44273,33370,32060,32740,3072,13868
"SRR11825991",48652,38199,37558,37955,664,33621
