"sample","input","filtered","denoised_f","denoised_r","merged","nonchim"
"SRR7811007",28846,25633,25609,25623,77,24948
"SRR7811008",32186,29186,29142,29143,143,28473
"SRR7811009",44070,34155,33835,33946,309,30574
"SRR7811010",45107,35373,35146,35198,286,32706
"SRR7811011",47126,36616,36451,36500,363,34522
"SRR7811012",47200,35920,35673,35755,604,27901
"SRR7811013",46823,36687,36415,36512,613,29744
"SRR7811014",45561,35724,35556,35619,311,33240
"SRR7811015",40867,31375,31141,31221,485,26424
"SRR7811016",43985,34212,34002,34104,475,29470
"SRR7811017",44247,34701,34566,34640,723,25461
"SRR7811018",42815,33340,33043,33180,332,30098
"SRR7811019",37729,34025,33975,33990,138,32515
"SRR7811020",47676,38552,38357,38443,356,36960
"SRR7811021",51307,41726,41615,41661,312,41086
"SRR7811022",51264,41090,40769,40884,647,35366
"SRR7811023",51554,42221,42100,42151,223,40089
"SRR7811024",49849,40357,40181,40205,512,37091
"SRR7811025",49435,40017,39791,39861,395,38921
"SRR7811026",36501,29354,29146,29240,357,26785
"SRR7811027",49783,40434,40201,40301,273,36881
"SRR7811028",44763,36481,36303,36368,301,34037
"SRR7811029",40379,32465,32104,32269,393,28790
"SRR7811030",30235,27473,27418,27457,124,27154
"SRR7811031",49042,44213,43647,43979,586,38270
"SRR7811032",48005,42451,42158,42276,312,39450
"SRR7811033",46665,41175,40568,40972,484,39349
"SRR7811034",36934,32942,32261,32627,540,28481
"SRR7811035",44813,39906,39642,39818,306,39075
"SRR7811036",48829,43306,42788,43059,310,40839
"SRR7811037",48393,43547,41731,42670,1642,27744
"SRR7811038",34224,30432,29626,29929,1176,20747
"SRR7811039",48026,42809,41766,42334,1099,32117
"SRR7811040",31881,28593,28275,28427,390,24260
"SRR7811041",36040,31696,31418,31570,282,30026
"SRR7811042",38299,30942,30739,30799,289,29040
"SRR7811043",47210,37792,37501,37644,263,36244
"SRR7811044",41891,32341,32171,32231,266,31411
"SRR7811045",44210,34434,34258,34326,279,33348
"SRR7811046",43597,34180,33994,34041,315,32300
"SRR7811047",41324,32426,32264,32308,303,30712
"SRR7811048",44573,34760,34379,34538,323,31503
"SRR7811049",36545,28001,27807,27880,264,25757
"SRR7811050",33527,30448,30426,30441,92,30296
"SRR7811051",30363,27325,27286,27297,114,26803
"SRR7811052",31948,28795,28759,28771,110,27919
"SRR7811053",35621,32218,32177,32187,120,31190
"SRR7811054",34992,31886,31716,31794,285,29376
"SRR7811055",45333,40593,40452,40538,204,38683
"SRR7811056",37277,28891,28719,28797,273,27933
"SRR7811057",47240,37906,37637,37722,358,35260
"SRR7811058",46170,41416,41125,41271,355,37414
"SRR7811059",49279,44226,43413,43855,752,35993
"SRR7811060",39751,35230,35003,35097,277,33224
"SRR7811061",51119,41372,41296,41316,225,39344
"SRR7811062",50612,40887,40639,40676,452,36960
"SRR7811063",47506,39113,38625,38884,576,35351
"SRR7811064",47256,38199,37690,37967,480,36169
"SRR7811065",50395,40883,40082,40513,758,34991
"SRR7811066",49075,39531,39242,39392,644,32139
"SRR7811067",47252,37786,37486,37591,418,34980
"SRR7811068",51266,41698,41533,41581,400,38218
"SRR7811069",51595,41455,41143,41255,573,37221
"SRR7811070",47663,38806,38687,38737,299,36630
"SRR7811071",39469,35803,35652,35738,282,32509
"SRR7811072",34637,31095,31041,31077,217,28115
"SRR7811073",24698,22383,22332,22353,163,21614
"SRR7811074",27573,24935,24926,24921,78,24795
"SRR7811075",28001,25395,25371,25379,106,25180
"SRR7811076",29764,26882,26639,26737,372,23109
"SRR7811077",40988,36765,36675,36721,181,35042
"SRR7811078",30403,27375,27351,27354,149,26880
"SRR7811079",49369,39535,39091,39270,493,35841
"SRR7811080",48294,43261,41192,42440,1575,27645
"SRR7811081",31147,28305,28203,28259,232,26470
"SRR7811082",32821,29862,29673,29763,532,23586
"SRR7811083",40054,32314,32202,32259,247,31944
"SRR7811084",49641,40442,40052,40225,428,37406
"SRR7811085",27015,21709,21616,21639,164,21385
"SRR7811086",48339,39472,39099,39297,556,35587
"SRR7811087",46410,36041,35785,35849,393,33196
"SRR7811088",42676,32713,32482,32572,292,28431
"SRR7811089",41836,32336,32137,32222,593,26393
"SRR7811090",42513,32885,32683,32736,297,30854
"SRR7811091",41960,32579,32417,32481,300,30091
"SRR7811092",42661,32978,32845,32837,294,30838
"SRR7811093",42743,33155,32939,32984,297,29048
"SRR7811094",39012,30485,30309,30361,320,27437
"SRR7811095",41835,32357,32109,32182,338,28919
"SRR7811096",45529,34945,34769,34807,323,32012
"SRR7811097",38534,31248,30956,31117,433,29983
"SRR7811098",47262,41962,41017,41467,1028,33619
"SRR7811099",44703,40345,40299,40314,88,39417
"SRR7811100",43453,38826,38739,38789,140,37776
"SRR7811101",30652,27593,27234,27409,1312,17053
"SRR7811102",35416,32247,31890,31999,1233,20434
"SRR7811103",21008,18861,18825,18837,109,18173
"SRR7811104",35022,31530,31285,31431,281,28417
"SRR7811105",23700,21220,20975,21042,827,14045
"SRR7811106",25417,22811,22533,22586,1732,11979
"SRR7811107",30967,27862,27499,27597,1657,16728
"SRR7811108",35478,28779,28656,28699,260,27838
"SRR7811109",25766,22981,22960,22973,54,22445
"SRR7811110",25509,23064,22954,22956,293,19234
"SRR7811111",32341,28883,27508,28382,641,23432
"SRR7811112",45449,40606,39665,40211,1102,30312
"SRR7811113",44973,40048,39831,39964,318,37926
"SRR7811114",49275,42931,42709,42824,297,41886
"SRR7811115",48639,43399,42502,42843,1050,31068
"SRR7811116",45903,41285,40198,40844,1341,28902
"SRR7811117",32706,29609,28753,29265,1174,18797
"SRR7811118",45389,40630,39856,40298,1150,27322
"SRR7811119",35929,32474,30219,31662,1298,21728
"SRR7811120",48234,43690,42898,43378,583,39011
"SRR7811121",48914,43872,43300,43588,653,36751
"SRR7811122",30294,26995,26893,26955,226,25585
"SRR7811123",31476,28320,28239,28261,235,26483
"SRR7811124",41294,36721,36637,36680,167,35966
"SRR7811125",25161,22515,22474,22493,180,21756
"SRR7811126",47613,42282,42051,42106,382,41101
"SRR7811127",29872,27072,27019,27046,162,25855
"SRR7811128",38049,34530,34439,34480,269,30724
"SRR7811129",32181,29030,28945,28992,244,25128
"SRR7811130",30198,27276,27252,27264,77,25620
"SRR7811131",25377,22713,22631,22679,92,22419
"SRR7811132",45650,40957,40067,40515,1110,29951
"SRR7811133",46523,41780,41096,41489,609,36508
"SRR7811134",40326,35919,35608,35776,266,34069
"SRR7811135",40421,35816,35599,35706,327,34689
"SRR7811136",46478,41999,40986,41505,1197,30924
"SRR7811137",44778,39705,37969,39102,781,32358
"SRR7811138",47899,43205,42075,42736,1314,30302
"SRR7811139",48453,43322,42422,42793,1062,30900
"SRR7811140",41682,37030,36820,36929,309,35581
"SRR7811141",46862,42000,41276,41706,591,37052
"SRR7811142",32780,29396,28525,29044,531,25644
"SRR7811143",46671,41972,39985,41023,1884,25033
"SRR7811144",30126,27181,27163,27175,98,26746
"SRR7811145",32187,29091,29062,29055,134,27951
"SRR7811146",33104,29560,29518,29543,117,29242
"SRR7811147",35252,31614,31487,31541,250,29763
"SRR7811148",35927,32385,32332,32369,154,32025
"SRR7811149",47525,42994,42916,42941,187,40987
"SRR7811150",47320,42418,42173,42294,682,34241
"SRR7811151",43577,39168,39133,39150,64,37008
"SRR7811152",37621,33806,33489,33657,812,25491
"SRR7811153",38276,34398,34360,34393,116,33877
"SRR7811154",42502,34386,33905,34171,600,30145
"SRR7811155",47341,37610,37022,37320,503,34828
"SRR7811156",29468,26520,25847,26126,1094,17496
"SRR7811157",38736,34199,33886,34087,255,33056
"SRR7811158",46382,40888,40509,40709,567,30568
"SRR7811159",45853,40955,38902,40070,1194,29122
"SRR7811160",32544,29074,28672,28903,371,26494
"SRR7811161",46007,41347,40555,40883,746,33122
"SRR7811162",31430,27576,27049,27331,346,24759
"SRR7811163",42551,37956,37377,37708,609,33198
"SRR7811164",44017,39007,37776,38467,951,29727
"SRR7811165",47882,42973,42410,42717,525,38260
"SRR7811166",33480,30371,30280,30347,218,28457
"SRR7811167",32499,29393,29283,29328,253,27471
"SRR7811168",30885,27969,27709,27756,727,19149
"SRR7811169",35326,31679,31618,31651,100,31067
"SRR7811170",38276,34122,33968,34055,215,33032
"SRR7811171",36876,32923,32882,32904,162,32595
"SRR7811172",35356,31815,31541,31721,645,25188
"SRR7811173",44246,39929,39410,39710,948,29767
"SRR7811174",33620,30499,30345,30421,301,27315
"SRR7811175",44709,40393,40303,40335,229,39047
"SRR7811176",50472,40266,39672,39963,540,35309
"SRR7811177",48990,43871,43199,43538,583,39148
"SRR7811178",37287,33432,31300,32578,1236,22982
"SRR7811179",39266,34450,34243,34352,276,33662
"SRR7811180",30036,26851,26708,26781,233,25474
"SRR7811181",37215,33141,32881,33043,231,31623
"SRR7811182",29240,25921,25779,25850,267,25265
"SRR7811183",45984,41338,40723,41010,1164,28195
"SRR7811184",48687,43857,42978,43361,1584,27812
"SRR7811185",37488,33124,31776,32591,643,27441
"SRR7811186",34399,30146,30034,30089,169,29452
