"sample","input","filtered","denoised_f","denoised_r","merged","nonchim"
"SRR9671446",42831,39428,39189,39276,423,35706
"SRR9671447",36889,33931,33382,33627,950,27732
"SRR9671448",36917,34031,33482,33747,996,26329
"SRR9671449",43225,39151,38585,38797,1016,30356
"SRR9671450",41317,37836,37140,37550,1243,28915
"SRR9671451",38330,34940,34722,34821,470,32726
"SRR9671452",38499,35405,35055,35214,1019,27980
"SRR9671453",43802,39936,39344,39730,693,35625
"SRR9671454",38119,35103,34338,34746,1036,27677
"SRR9671455",35896,32844,32446,32667,572,27966
"SRR9671456",37459,34123,33874,33916,538,27971
"SRR9671457",36642,33713,33349,33606,547,31091
"SRR9671458",30922,28665,28606,28631,228,28393
"SRR9671459",36824,34230,33535,33918,1168,26052
"SRR9671460",42576,39162,38606,39015,550,35530
"SRR9671461",35685,32931,32683,32809,440,29182
"SRR9671462",32676,30038,29675,29940,487,28419
"SRR9671463",44772,41476,40870,41232,966,33847
"SRR9671464",44864,41110,40769,40934,622,37567
"SRR9671465",42213,38715,38366,38612,415,36297
"SRR9671466",33255,30574,30172,30371,760,25942
"SRR9671467",43296,39636,39048,39246,845,30796
"SRR9671468",36062,33114,32647,32953,681,29434
"SRR9671469",31277,28971,28458,28720,955,22992
"SRR9671470",44688,40905,40470,40680,586,37223
"SRR9671471",44954,41481,39934,40999,1594,30708
"SRR9671472",38687,35545,34979,35287,861,29279
"SRR9671473",39469,36159,35549,35927,903,31114
"SRR9671474",44889,40902,40137,40580,997,35695
"SRR9671475",37784,34625,33753,34257,1007,26707
"SRR9671476",38079,34888,34506,34700,511,32070
"SRR9671477",37322,34442,34159,34293,620,31392
"SRR9671478",37493,34465,33981,34247,582,29851
"SRR9671479",34845,31634,31481,31553,392,28546
"SRR9671480",33356,30885,30454,30698,878,25396
"SRR9671481",44525,40826,40467,40524,1067,32784
"SRR9671482",39626,36344,35896,36128,809,27798
"SRR9671483",32442,29534,29262,29359,610,25717
"SRR9671484",32317,30021,29943,29982,232,29389
"SRR9671485",38075,35075,34220,34825,920,28333
"SRR9671486",40676,37373,37218,37288,368,35797
"SRR9671487",30165,27879,27728,27831,318,24418
"SRR9671488",40254,37042,36962,37007,363,36524
"SRR9671489",31648,29081,28910,29007,335,28584
"SRR9671490",35129,32381,31898,32130,1124,24941
"SRR9671491",42962,39802,38626,39268,1471,28653
"SRR9671492",31511,28569,28160,28339,586,24960
"SRR9671493",44539,40972,40699,40836,610,36798
"SRR9671494",39182,36024,35611,35758,1042,28932
"SRR9671495",39062,36056,35064,35621,1059,28682
"SRR9671496",39597,36422,35887,36142,815,29416
"SRR9671497",30484,27753,27735,27722,217,26835
"SRR9671498",42674,39345,38706,39009,1303,30206
"SRR9671499",31201,28690,27800,28330,1027,22081
"SRR9671500",39321,35610,35161,35463,444,33041
"SRR9671501",31993,29210,28759,28977,851,25150
"SRR9671502",32883,30325,29298,29942,1167,21928
"SRR9671503",32760,30056,29664,29927,561,27921
"SRR9671504",42458,38912,38271,38568,760,32337
"SRR9671505",32778,30206,29638,29968,996,24392
"SRR9671506",38261,35225,34773,35042,782,29194
"SRR9671507",39244,35916,34974,35527,1093,28358
"SRR9671508",39901,36811,36412,36667,827,30332
"SRR9671509",31580,29110,28432,28864,934,23691
"SRR9671510",39864,35274,35149,35192,315,33526
"SRR9671511",30022,27452,26706,27275,673,24615
"SRR9671512",42626,39462,39365,39404,252,36818
"SRR9671513",36965,33819,33159,33473,425,31592
"SRR9671514",33414,30264,30196,30198,344,29671
"SRR9671515",42672,38943,38353,38667,1056,31954
"SRR9671516",34510,31893,31540,31721,806,25036
"SRR9671517",44042,40365,39662,40021,812,34228
"SRR9671518",31339,28905,28484,28653,1096,22549
"SRR9671519",35574,32810,32755,32777,274,32544
"SRR9671520",34665,31970,30967,31502,1327,22805
"SRR9671521",35945,33055,32298,32831,747,29560
"SRR9671522",37897,34957,34355,34687,1108,26876
"SRR9671523",33064,30647,30331,30455,829,26400
"SRR9671524",36919,33944,33393,33611,1009,28127
"SRR9671525",41692,38083,36898,37564,1067,29504
"SRR9671526",39065,35849,34805,35449,993,28523
"SRR9671527",42799,39103,38143,38738,1038,30320
"SRR9671528",43112,39455,39199,39322,284,37337
"SRR9671529",44828,41469,40924,41170,1004,32816
"SRR9671530",36156,33010,32737,32906,463,31401
"SRR9671531",39881,36355,36276,36279,216,35970
