sample_id,cohort,ADurb.Bin063-1,Achromobacter,Acidaminococcus,Acidibacter,Acinetobacter,Actinocorallia,Actinomyces,Adhaeribacter,Adlercreutzia,Aeromicrobium,Aeromonas,Afipia,Agathobacter,Agromyces,Ahniella,Akkermansia,Aliihoeflea,Alistipes,Alkalicoccus,Allisonella,Alloprevotella,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,Altererythrobacter,Ammoniphilus,Anaerobacillus,Anaerococcus,Anaerofilum,Anaerofustis,Anaerostipes,Anaerotruncus,Angelakisella,Aquabacterium,Aquicella,Archangium,Arenimonas,Aridibacter,Asteroleplasma,Atopobium,Azoarcus,BD1-7 clade,BIyi10,Bacillus,Bacteroides,Barnesiella,Bauldia,Bdellovibrio,Bifidobacterium,Bilophila,Blastococcus,Blautia,Bradyrhizobium,Brevundimonas,Bryobacter,Burkholderia-Caballeronia-Paraburkholderia,Butyricicoccus,Butyricimonas,CAG-352,CAG-56,CAG-873,CHKCI002,CL500-29 marine group,Caenimonas,Campylobacter,Candidatus Entotheonella,Candidatus Nitrocosmicus,Candidatus Nitrososphaera,Candidatus Soleaferrea,Candidatus Solibacter,Candidatus Udaeobacter,Castellaniella,Catabacter,Catenibacillus,Catenibacterium,Catenisphaera,Caulobacter,Cellvibrio,Chelativorans,Chitinophaga,Christensenella,Christensenellaceae R-7 group,Chryseobacterium,Chryseolinea,Chthoniobacter,Citricoccus,Citrifermentans,Citrobacter,Cloacibacillus,Clostridium sensu stricto 1,Colidextribacter,Collinsella,Comamonas,Coprobacillus,Coprobacter,Coprococcus,Coriobacteriaceae UCG-003,Corynebacterium,Cupriavidus,Curvibacter,Cutibacterium,DTU089,Dactylosporangium,Defluviitaleaceae UCG-011,Desulfovibrio,Dethiobacter,Dialister,Diaphorobacter,Dielma,Dinghuibacter,Dokdonella,Dongia,Dorea,Edaphobaculum,Eggerthella,Eisenbergiella,Ellin6055,Ellin6067,Elusimicrobium,Enhydrobacter,Enterobacter,Enterococcus,Enterorhabdus,Enteroscipio,Erysipelatoclostridium,Erysipelotrichaceae UCG-003,Erysipelotrichaceae UCG-006,Escherichia-Shigella,Eubacterium,Eubacterium brachy group,Eubacterium eligens group,Eubacterium hallii group,Eubacterium oxidoreducens group,Eubacterium ventriosum group,Ezakiella,Faecalibacterium,Faecalibaculum,Faecalitalea,Family XIII AD3011 group,Family XIII UCG-001,Fenollaria,Ferruginibacter,Finegoldia,Flavisolibacter,Flavitalea,Flavobacterium,Flavonifractor,Fluviicola,Fournierella,Frisingicoccus,Fusicatenibacter,Fusobacterium,GCA-900066575,GCA-900066755,Gaiella,Gemella,Gemmatimonas,Gordonibacter,Granulicatella,HT002,Haemophilus,Haliangium,Halomonas,Harryflintia,Hassallia,Helicobacter,Hirschia,Holdemanella,Holdemania,Howardella,Hungatella,Hyphomicrobium,IS-44,Iamia,Ilumatobacter,Incertae Sedis,Intestinibacter,Intestinimonas,JGI 0001001-H03,Klebsiella,Kribbella,Lachnoclostridium,Lachnospira,Lachnospiraceae FCS020 group,Lachnospiraceae NC2004 group,Lachnospiraceae ND3007 group,Lachnospiraceae NK3A20 group,Lachnospiraceae NK4A136 group,Lachnospiraceae UCG-001,Lachnospiraceae UCG-003,Lachnospiraceae UCG-004,Lachnospiraceae UCG-006,Lachnospiraceae UCG-010,Lacibacter,Lacticaseibacillus,Lactiplantibacillus,Lactobacillus,Lactococcus,Lactonifactor,Lacunisphaera,Latilactobacillus,Lechevalieria,Legionella,Leucobacter,Leuconostoc,Levilactobacillus,Libanicoccus,Ligilactobacillus,Limosilactobacillus,Longimicrobium,Luedemannella,Luteolibacter,Lysinibacillus,Lysobacter,MND1,Marmoricola,Marvinbryantia,Massilia,Megamonas,Megasphaera,Merdibacter,Mesorhizobium,Methanobrevibacter,Methylobacterium-Methylorubrum,Methyloceanibacter,Methylotenera,Methyloversatilis,Microbacterium,Microlunatus,Microvirga,Mitsuokella,Mogibacterium,Monoglobus,Muribaculum,Mycobacterium,NK4A214 group,Nannocystis,Negativibacillus,Nesterenkonia,Niastella,Nitrolancea,Nitrosococcus,Nitrosospira,Nitrospira,Nocardioides,Nonomuraea,Nordella,Novosphingobium,OLB17,OM27 clade,Oceanicaulis,Odoribacter,Ohtaekwangia,Olsenella,Opitutus,Oribacterium,Oscillibacter,Oscillospira,Oxalobacter,P3OB-42,Paenibacillus,Paeniclostridium,Paenisporosarcina,Pajaroellobacter,Paludicola,Pannonibacter,Papillibacter,Parabacteroides,Paracoccus,Paraprevotella,Parapusillimonas,Parasutterella,Parvimonas,Pedobacter,Pedomicrobium,Pelagibacterium,Peptococcus,Peptoniphilus,Peptostreptococcus,Peredibacter,Phascolarctobacterium,Phaselicystis,Phenylobacterium,Phocea,Polaromonas,Polyangium,Polycyclovorans,Pontibacter,Porphyromonas,Prevotella,Prevotella_7,Prevotella_9,Prevotellaceae NK3B31 group,Prevotellaceae UCG-001,Prevotellaceae UCG-003,Pseudenhygromyxa,Pseudoduganella,Pseudoflavonifractor,Pseudolabrys,Pseudomonas,Pseudonocardia,Pseudorhodoplanes,Pseudoxanthomonas,Psychrobacillus,Psychrobacter,Puia,Pyramidobacter,RB41,Ralstonia,Ramlibacter,Raoultibacter,Reyranella,Rhizobacter,Rhizocola,Rhodococcus,Rhodomicrobium,Rhodoplanes,Rikenellaceae RC9 gut group,Romboutsia,Roseburia,Rothia,Rubrobacter,Ruminococcus,Ruminococcus gnavus group,Ruminococcus torques group,SWB02,Salipaludibacillus,Salmonella,Sandaracinus,Sanguibacteroides,Sarcina,Sediminibacterium,Sellimonas,Senegalimassilia,Serratia,Shuttleworthia,Skermanella,Slackia,Sneathia,Solirubrobacter,Solitalea,Solobacterium,Sphingomonas,Sporosarcina,Staphylococcus,Stenotrophobacter,Stenotrophomonas,Steroidobacter,Streptococcus,Streptomyces,Subdoligranulum,Subgroup 10,Succinivibrio,Sulfurifustis,Sumerlaea,Sutterella,TM7x,Taibaiella,Terrimonas,Terrisporobacter,Thermus,Truepera,Tumebacillus,Turicibacter,Tuzzerella,Tyzzerella,UBA1819,UC5-1-2E3,UCG-002,UCG-003,UCG-004,UCG-005,UCG-007,UCG-009,UTCFX1,Undibacterium,V9D2013 group,Veillonella,Vibrionimonas,Vicinamibacter,Victivallis,Virgisporangium,Weissella,Woeseia,YC-ZSS-LKJ147,Z20,[Bacteroides] pectinophilus group,[Clostridium] innocuum group,[Eubacterium] fissicatena group,[Eubacterium] nodatum group,[Eubacterium] ruminantium group,[Eubacterium] siraeum group,[Eubacterium] tenue group,[Eubacterium] xylanophilum group,[Ruminococcus] gauvreauii group,mle1-7,wb1-A12,wb1-P19
SRR9671446,zhuang2018,0,0,260,0,32,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,871,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,126,0,0,26467,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,892,0,500,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,1248,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,1,0,0,2199,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,3,0,0,0,0,0,1,0,0,2,0,0,0,10,0,0,32,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,5,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0
SRR9671447,zhuang2018,0,0,84,0,25,0,0,0,3,0,0,0,24,0,0,0,0,276,0,32,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,6406,0,0,0,44,22,0,428,0,0,0,0,173,11,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,4,127,0,0,4,102,0,0,0,0,0,1,0,0,161,0,1,0,0,0,0,0,97,0,5,0,0,0,0,0,0,527,0,0,0,14,0,32,0,0,1,110,0,6,0,2514,0,3,0,0,0,0,1,0,0,0,22,0,0,0,59,735,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,0,1,0,0,0,827,62,0,0,7,0,5,0,0,40,0,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,9277,502,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,56,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,169,0,51,0,0,0,0,0,0,0,0,0,0,506,0,0,1,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1112,1,0,34,174,103,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,7,0,1442,0,0,0,0,1,2,0,0,0,0,0,0,0,24,5,11,0,28,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SRR9671448,zhuang2018,0,0,13,0,31,0,13,0,0,0,0,0,5686,0,0,60,0,68,0,113,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,1551,0,0,0,1437,59,0,1320,0,0,0,0,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,154,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,18,4,0,0,0,0,0,5,0,0,24,0,0,554,0,0,24,710,0,416,0,1336,0,0,0,0,0,0,0,0,0,0,12,0,0,0,76,1,0,0,0,6,0,0,0,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,0,0,0,1159,65,7,0,72,0,2,0,0,43,0,0,0,50,0,88,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,15,1135,7,0,1524,772,378,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,3,0,0,56,0,0,0,1931,0,54,0,0,0,0,0,26,0,0,0,0,0,0,0,12,59,3,0,1,0,0,0,0,0,0,0,0,2420,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SRR9671449,zhuang2018,0,0,0,0,46,0,39,0,6,0,0,0,6,0,0,3909,0,24,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,7,0,0,0,0,199,9,0,0,1357,1,0,5568,0,0,0,0,107,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,1039,0,0,0,167,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,400,0,203,411,0,0,0,0,0,5,0,0,18,730,0,1508,4,0,0,611,0,7175,0,18,0,0,12,22,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,24,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,26,1,0,0,0,1234,7,5,0,2,0,16,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,42,0,29,692,0,0,0,2,0,0,0,0,0,0,0,0,40,0,3,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,730,3,1,0,667,480,473,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,820,0,37,0,0,0,0,0,48,0,0,2,0,0,0,42,0,103,182,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,34,4,7,0,1,0,0,1,0,0,0
SRR9671450,zhuang2018,0,0,1,0,43,0,24,0,9,0,0,0,885,0,0,0,0,2,0,90,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,17,38,0,3024,0,0,0,0,360,0,134,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6144,0,214,0,0,0,250,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,689,0,0,3,0,0,0,0,3,0,0,0,4,586,0,2842,0,0,0,678,0,36,0,746,0,0,0,3,0,0,0,0,0,0,0,0,0,0,123,710,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,0,6,673,0,0,1,0,603,12,26,0,66,0,22,0,1,16,0,53,0,0,0,3,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,14,7,1,4,0,0,0,1,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,49,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2284,2581,1,0,176,284,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,608,0,249,0,0,0,0,0,6,0,0,0,0,0,0,246,0,1,2,0,3,0,0,12,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,5,115,0,0,0
SRR9671451,zhuang2018,0,0,0,0,122,0,30,0,0,0,0,0,41,0,0,617,0,9,0,85,0,0,0,0,0,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,27,0,0,10220,0,0,0,0,6,0,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,8,0,14,0,0,0,0,0,26,0,0,0,0,0,287,0,0,2,0,2322,0,0,0,0,0,2,0,417,0,0,0,0,0,229,5,0,0,1234,0,0,151,0,0,0,3,0,4,0,149,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,0,0,0,0,288,648,0,0,3841,0,236,5,0,0,0,0,11,1,0,0,0,6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,6,3,86,0,0,0,5,0,0,0,0,0,0,0,0,884,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,17,8,0,7,3271,2028,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,90,0,0,0,0,2,0,0,0,0,0,0,0,46,0,388,449,0,46,2,0,10,0,1,0,0,0,36,0,0,0,0,2,0,0,0,0,910,0,0,1,7,0,0,0,0,0,0
SRR9671452,zhuang2018,0,0,14,0,35,0,3,0,0,0,0,0,8357,0,0,156,0,0,0,10,0,0,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,4,0,0,0,0,51,0,0,0,8,0,0,990,0,0,0,0,73,0,1,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3326,0,0,0,0,0,166,0,37,0,0,0,0,0,0,0,0,0,74,271,0,3109,0,0,5,462,0,7,0,1220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,115,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,8,0,0,1,0,241,15,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,9,0,115,205,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,38,0,2755,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR9671453,zhuang2018,0,0,0,0,69,0,23,0,342,0,0,0,356,0,0,31,0,207,0,0,0,0,0,0,0,0,0,0,305,11,0,0,0,0,0,0,0,8,0,0,0,2,712,55,0,0,2976,0,0,5089,0,0,0,0,54,20,0,0,0,0,0,0,0,0,0,0,13,0,0,0,33,27,0,0,0,0,0,0,41,43,0,0,0,0,0,6,0,18,3,732,0,0,9,0,0,10,0,0,0,187,0,5,186,0,11,0,0,0,0,0,210,0,32,0,0,0,0,0,1,12,0,0,142,0,0,3682,0,229,31,4684,0,92,0,1042,0,4,6,15,0,0,0,0,0,0,13,0,0,187,270,0,0,4,0,17,0,21,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,320,12,62,0,82,0,552,0,3,0,4,0,76,15,0,0,0,23,0,0,0,175,10,10,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,1,0,0,0,0,0,0,0,3,235,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,86,0,0,0,0,0,0,0,9,0,0,42,0,73,0,0,0,0,0,0,0,0,0,0,1537,0,0,4,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,8,0,0,0,0,0,0,33,0,0,0,23,0,0,0,6,0,0,0,690,392,2,0,153,82,528,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2631,0,2179,0,0,0,0,16,10,0,0,1,0,0,0,0,218,0,197,0,195,9,0,62,0,2,0,0,0,5,0,0,0,0,52,0,0,0,0,10,32,75,0,209,0,8,60,0,0,0
SRR9671454,zhuang2018,0,0,0,0,5,0,0,0,42,0,0,0,927,0,0,81,0,1126,0,0,0,0,0,0,0,0,1,0,1129,0,0,0,0,0,0,0,0,0,0,0,0,0,3608,0,0,0,65,50,0,1283,0,0,0,0,150,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,4,3,0,0,0,0,264,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,88,0,13,3,0,0,0,0,0,4,0,0,0,132,0,3568,0,0,103,84,0,18,0,5601,0,0,32,22,0,0,0,0,0,0,32,0,0,0,565,0,16,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,6,0,7,0,0,0,0,138,0,16,0,0,0,288,130,0,0,77,0,68,0,0,42,0,119,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,142,293,0,0,173,20,97,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,743,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,41,1,132,33,0,148,0,16,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,7,0,441,0,0,7,0,0,0
SRR9671455,zhuang2018,0,0,0,0,75,0,46,0,0,0,0,0,0,0,0,3302,0,5,0,0,0,0,0,0,0,0,0,0,557,0,0,0,0,0,0,0,0,7,0,0,0,0,1341,0,0,0,46,241,0,3319,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,125,0,0,0,0,0,0,8,0,0,164,126,0,534,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,23,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,88,0,0,0,0,0,1654,0,0,0,0,0,0,0,0,14,0,61,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2283,235,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7170,0,3,0,0,0,0,0,22,0,0,0,0,0,0,0,570,0,239,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,570,18,1,0,0,0,0,0,0,0,0
