test_cohort,model,within_auc,correction,loco_auc,loco_ci_lo,loco_ci_hi,loco_drop
zhuang2018,logreg,0.6333,uncorrected,0.5041,0.373,0.6302,0.1292
zhuang2018,lgbm,0.6349,uncorrected,0.5646,0.4402,0.6922,0.0703
ling2020,logreg,0.8648,uncorrected,0.6775,0.5919,0.7554,0.1873
ling2020,lgbm,0.8618,uncorrected,0.6735,0.5924,0.7529,0.1883
shanghai2022,logreg,0.9978,uncorrected,0.8133,0.6863,0.9208,0.1845
shanghai2022,lgbm,0.9789,uncorrected,0.7578,0.6284,0.8698,0.2211
kazakhstan2022,logreg,0.7657,uncorrected,0.5644,0.4387,0.6916,0.2013
kazakhstan2022,lgbm,0.6943,uncorrected,0.5905,0.4662,0.712,0.1038
zhuang2018,logreg,0.6333,combatseq_labelblind,0.5251,0.3955,0.6538,0.1082
zhuang2018,lgbm,0.6349,combatseq_labelblind,0.563,0.4375,0.6845,0.0719
ling2020,logreg,0.8648,combatseq_labelblind,0.6807,0.594,0.7624,0.1841
ling2020,lgbm,0.8618,combatseq_labelblind,0.6832,0.6058,0.7611,0.1786
shanghai2022,logreg,0.9978,combatseq_labelblind,0.7689,0.6351,0.8801,0.2289
shanghai2022,lgbm,0.9789,combatseq_labelblind,0.8033,0.6812,0.9074,0.1756
kazakhstan2022,logreg,0.7657,combatseq_labelblind,0.5604,0.4336,0.6841,0.2053
kazakhstan2022,lgbm,0.6943,combatseq_labelblind,0.5666,0.4359,0.6881,0.1277
zhuang2018,logreg,0.6333,mmuphin_labelblind,0.5284,0.4044,0.6528,0.1049
zhuang2018,lgbm,0.6349,mmuphin_labelblind,0.5435,0.4227,0.6694,0.0914
ling2020,logreg,0.8648,mmuphin_labelblind,0.7025,0.6163,0.7815,0.1623
ling2020,lgbm,0.8618,mmuphin_labelblind,0.6425,0.5549,0.7286,0.2193
shanghai2022,logreg,0.9978,mmuphin_labelblind,0.7822,0.647,0.8962,0.2156
shanghai2022,lgbm,0.9789,mmuphin_labelblind,0.8233,0.7115,0.9118,0.1556
kazakhstan2022,logreg,0.7657,mmuphin_labelblind,0.5428,0.4136,0.6685,0.2229
kazakhstan2022,lgbm,0.6943,mmuphin_labelblind,0.582,0.4492,0.7164,0.1123
