test_cohort,model,within_auc,correction,loco_auc,loco_ci_lo,loco_ci_hi,loco_drop
zhuang2018,logreg,0.6333,uncorrected,0.5041,0.373,0.6302,0.1292
zhuang2018,lgbm,0.6349,uncorrected,0.5646,0.4402,0.6922,0.0703
ling2020,logreg,0.8648,uncorrected,0.6775,0.5919,0.7554,0.1873
ling2020,lgbm,0.8618,uncorrected,0.6735,0.5924,0.7529,0.1883
shanghai2022,logreg,0.9978,uncorrected,0.8133,0.6863,0.9208,0.1845
shanghai2022,lgbm,0.9789,uncorrected,0.7578,0.6284,0.8698,0.2211
kazakhstan2022,logreg,0.7657,uncorrected,0.5644,0.4387,0.6916,0.2013
kazakhstan2022,lgbm,0.6943,uncorrected,0.5905,0.4662,0.712,0.1038
zhuang2018,logreg,0.6333,combatseq,0.4889,0.3613,0.6096,0.1444
zhuang2018,lgbm,0.6349,combatseq,0.5592,0.4379,0.6897,0.0757
ling2020,logreg,0.8648,combatseq,0.4465,0.3545,0.5361,0.4183
ling2020,lgbm,0.8618,combatseq,0.5972,0.5033,0.6839,0.2646
shanghai2022,logreg,0.9978,combatseq,0.73,0.5933,0.8494,0.2678
shanghai2022,lgbm,0.9789,combatseq,0.7167,0.5755,0.8334,0.2622
kazakhstan2022,logreg,0.7657,combatseq,0.308,0.196,0.4239,0.4577
kazakhstan2022,lgbm,0.6943,combatseq,0.346,0.23,0.466,0.3483
zhuang2018,logreg,0.6333,mmuphin,0.5452,0.4166,0.6689,0.0881
zhuang2018,lgbm,0.6349,mmuphin,0.5133,0.3878,0.6351,0.1216
ling2020,logreg,0.8648,mmuphin,0.6644,0.5774,0.7459,0.2004
ling2020,lgbm,0.8618,mmuphin,0.5901,0.5,0.6778,0.2717
shanghai2022,logreg,0.9978,mmuphin,0.7778,0.6428,0.891,0.22
shanghai2022,lgbm,0.9789,mmuphin,0.7567,0.6183,0.8765,0.2222
kazakhstan2022,logreg,0.7657,mmuphin,0.4628,0.337,0.5939,0.3029
kazakhstan2022,lgbm,0.6943,mmuphin,0.468,0.3278,0.6084,0.2263
