comparison,F_obs,p_perm,p_holm,p_BH
kazakhstan2022-ling2020,1.4340709862211386e-8,1e-4,0.001,3.333333333333334e-4
kbase2022-ling2020,4.177696010954687e-9,1e-4,0.001,3.333333333333334e-4
ling2020-zhuang2018,5.4421722489702904e-5,1e-4,0.001,3.333333333333334e-4
kazakhstan2022-shanghai2022,0.001312796098076534,9e-4,0.0063,0.00225
kbase2022-shanghai2022,0.001670160199447281,0.0018,0.0108,0.0036
ling2020-shanghai2022,0.008277234076512242,0.0084,0.041999999999999996,0.014
kazakhstan2022-zhuang2018,0.010473331406701807,0.0101,0.041999999999999996,0.014428571428571428
kbase2022-zhuang2018,0.025068620138315782,0.0216,0.0648,0.027000000000000003
shanghai2022-zhuang2018,0.22126709356928895,0.2197,0.4394,0.24411111111111114
kazakhstan2022-kbase2022,0.3487011680365364,0.3544,0.4394,0.3544
