correction,experiment,train_cohorts,test_cohort,model,n_train,n_test,auc,ci_lo,ci_hi
combatseq_labelblind,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,logreg,315,86,0.5251,0.3955,0.6538
combatseq_labelblind,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,lgbm,315,86,0.563,0.4375,0.6845
combatseq_labelblind,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,logreg,230,171,0.6807,0.594,0.7624
combatseq_labelblind,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,lgbm,230,171,0.6832,0.6058,0.7611
combatseq_labelblind,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,logreg,341,60,0.7689,0.6351,0.8801
combatseq_labelblind,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,lgbm,341,60,0.8033,0.6812,0.9074
combatseq_labelblind,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,logreg,317,84,0.5604,0.4336,0.6841
combatseq_labelblind,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,lgbm,317,84,0.5666,0.4359,0.6881
mmuphin_labelblind,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,logreg,315,86,0.5284,0.4044,0.6528
mmuphin_labelblind,LOCO,ling2020+shanghai2022+kazakhstan2022,zhuang2018,lgbm,315,86,0.5435,0.4227,0.6694
mmuphin_labelblind,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,logreg,230,171,0.7025,0.6163,0.7815
mmuphin_labelblind,LOCO,zhuang2018+shanghai2022+kazakhstan2022,ling2020,lgbm,230,171,0.6425,0.5549,0.7286
mmuphin_labelblind,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,logreg,341,60,0.7822,0.647,0.8962
mmuphin_labelblind,LOCO,zhuang2018+ling2020+kazakhstan2022,shanghai2022,lgbm,341,60,0.8233,0.7115,0.9118
mmuphin_labelblind,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,logreg,317,84,0.5428,0.4136,0.6685
mmuphin_labelblind,LOCO,zhuang2018+ling2020+shanghai2022,kazakhstan2022,lgbm,317,84,0.582,0.4492,0.7164
