cohort,taxon,n_folds_total,n_positive,n_negative,n_zero,median_coefficient,mean_coefficient,sign_stability
kazakhstan2022,ADurb.Bin063-1,10,3,7,0,-0.0006974233789675522,-0.0010981043902127234,unstable
kazakhstan2022,Achromobacter,10,10,0,0,0.008892962957505992,0.011668339426482046,stable_positive
kazakhstan2022,Acidaminococcus,10,9,1,0,0.024650151105656163,0.03692949086417434,stable_positive
kazakhstan2022,Acidibacter,10,0,10,0,-0.021446697873667743,-0.0186823794251582,stable_negative
kazakhstan2022,Acinetobacter,10,0,10,0,-0.05113352521091938,-0.06877615618464412,stable_negative
kazakhstan2022,Actinocorallia,10,10,0,0,0.019368304162583894,0.027764175084454834,stable_positive
kazakhstan2022,Actinomyces,10,7,3,0,0.0022555720140106103,-0.0037465546986939595,unstable
kazakhstan2022,Adhaeribacter,10,10,0,0,0.020582173597648266,0.0201495318920497,stable_positive
kazakhstan2022,Adlercreutzia,10,8,2,0,0.01851833347316514,0.018990453260531757,stable_positive
kazakhstan2022,Aeromicrobium,10,1,9,0,-0.004441013275531121,-0.0051618551503962015,stable_negative
kazakhstan2022,Aeromonas,10,9,1,0,0.01831557780440817,0.016933332310503164,stable_positive
kazakhstan2022,Afipia,10,5,5,0,-1.686557897539265e-05,0.0010581803073936068,unstable
kazakhstan2022,Agathobacter,10,10,0,0,0.012551628617898419,0.019523074959186867,stable_positive
kazakhstan2022,Agromyces,10,0,10,0,-0.0065162732182463354,-0.005873893183249373,stable_negative
kazakhstan2022,Ahniella,10,10,0,0,0.00976434757244558,0.010293360506227145,stable_positive
kazakhstan2022,Akkermansia,10,10,0,0,0.06824735537097767,0.07554660038212599,stable_positive
kazakhstan2022,Aliihoeflea,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Alistipes,10,2,8,0,-0.0031701541755171786,-0.00891859756365519,stable_negative
kazakhstan2022,Alkalicoccus,10,1,9,0,-0.010605370850015708,-0.006062376966405119,stable_negative
kazakhstan2022,Allisonella,10,9,1,0,0.01479518988409656,0.027550335802279245,stable_positive
kazakhstan2022,Alloprevotella,10,5,5,0,0.0013847221170794365,0.0037394316239051833,unstable
kazakhstan2022,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,10,0,10,0,-0.011720128226294056,-0.013372927056013697,stable_negative
kazakhstan2022,Altererythrobacter,10,0,10,0,-0.010605081913261514,-0.011195539548333555,stable_negative
kazakhstan2022,Ammoniphilus,10,6,4,0,0.002577763128813664,0.0036198441970606565,unstable
kazakhstan2022,Anaerobacillus,10,1,9,0,-0.008578402768910611,-0.008201289279566922,stable_negative
kazakhstan2022,Anaerococcus,10,10,0,0,0.020332983212007653,0.02766976692624923,stable_positive
kazakhstan2022,Anaerofilum,10,0,10,0,-0.017723310249839162,-0.026130044092488362,stable_negative
kazakhstan2022,Anaerofustis,10,4,6,0,-0.0017955321003809126,-0.0024657263208317337,unstable
kazakhstan2022,Anaerostipes,10,8,2,0,0.008242710900200161,0.016329956210740702,stable_positive
kazakhstan2022,Anaerotruncus,10,1,9,0,-0.007063461932852053,-0.013913254344908772,stable_negative
kazakhstan2022,Angelakisella,10,0,10,0,-0.00992260450776171,-0.01778911485825698,stable_negative
kazakhstan2022,Aquabacterium,10,2,8,0,-0.0007705919997844824,-0.0012519373061012362,stable_negative
kazakhstan2022,Aquicella,10,10,0,0,0.018911412059985692,0.020579706017283678,stable_positive
kazakhstan2022,Archangium,10,10,0,0,0.019609319426709806,0.02384515023314917,stable_positive
kazakhstan2022,Arenimonas,10,10,0,0,0.0066812053512053955,0.006636304691075888,stable_positive
kazakhstan2022,Aridibacter,10,10,0,0,0.01551780075484979,0.016632163940514984,stable_positive
kazakhstan2022,Asteroleplasma,10,4,6,0,-0.0034628626581084745,0.007330862665633109,unstable
kazakhstan2022,Atopobium,10,4,6,0,-0.00142614043473555,-0.004150593145013357,unstable
kazakhstan2022,Azoarcus,10,0,10,0,-0.020591115531534192,-0.02236325412458501,stable_negative
kazakhstan2022,BD1-7 clade,10,7,3,0,0.001576729257441034,-0.0013056256166798,unstable
kazakhstan2022,BIyi10,10,2,8,0,-0.0018492970924083205,-0.0038646947184281695,stable_negative
kazakhstan2022,Bacillus,10,0,10,0,-0.05678409850453163,-0.07415135856857591,stable_negative
kazakhstan2022,Bacteroides,10,3,7,0,-0.003322806495342838,-0.008421946269866372,unstable
kazakhstan2022,Barnesiella,10,0,10,0,-0.03365426329060757,-0.043731957690271814,stable_negative
kazakhstan2022,Bauldia,10,9,1,0,0.0015609044496687173,0.001895359188816986,stable_positive
kazakhstan2022,Bdellovibrio,10,0,10,0,-0.01414234338256485,-0.019690002700452867,stable_negative
kazakhstan2022,Bifidobacterium,10,1,9,0,-0.01952665577631872,-0.028836458871525732,stable_negative
kazakhstan2022,Bilophila,10,9,1,0,0.014646372743338288,0.013289262429769086,stable_positive
kazakhstan2022,Blastococcus,10,3,7,0,-0.005395746981194959,-0.008138106159759267,unstable
kazakhstan2022,Blautia,10,0,10,0,-0.006031978698897244,-0.008003616392452565,stable_negative
kazakhstan2022,Bradyrhizobium,10,1,9,0,-0.0033567740513062655,-0.003286935553568661,stable_negative
kazakhstan2022,Brevundimonas,10,0,10,0,-0.012914374167685448,-0.01139026457130268,stable_negative
kazakhstan2022,Bryobacter,10,0,10,0,-0.017500856615842875,-0.019813826347592944,stable_negative
kazakhstan2022,Burkholderia-Caballeronia-Paraburkholderia,10,0,10,0,-0.006404291508926388,-0.006298949076026733,stable_negative
kazakhstan2022,Butyricicoccus,10,10,0,0,0.008579168672064832,0.011238020452243942,stable_positive
kazakhstan2022,Butyricimonas,10,10,0,0,0.010508920640375584,0.010605625589432476,stable_positive
kazakhstan2022,CAG-352,10,0,10,0,-0.016734429431345763,-0.025020424657462577,stable_negative
kazakhstan2022,CAG-56,10,10,0,0,0.011087524293106145,0.011000806810446472,stable_positive
kazakhstan2022,CAG-873,10,10,0,0,0.02747300922446292,0.025457807348385885,stable_positive
kazakhstan2022,CHKCI002,10,0,10,0,-0.012930954539626479,-0.014985161611896275,stable_negative
kazakhstan2022,CL500-29 marine group,10,0,10,0,-0.015432229583144115,-0.015929837735059255,stable_negative
kazakhstan2022,Caenimonas,10,10,0,0,0.020158510146651473,0.023743978720737434,stable_positive
kazakhstan2022,Campylobacter,10,0,10,0,-0.009804984554765684,-0.01268294468430771,stable_negative
kazakhstan2022,Candidatus Entotheonella,10,1,9,0,-0.0030923365550294167,-0.004347579755248122,stable_negative
kazakhstan2022,Candidatus Nitrocosmicus,10,9,1,0,0.006129403500571325,0.004901801598868351,stable_positive
kazakhstan2022,Candidatus Nitrososphaera,10,10,0,0,0.0273894528667971,0.026431220749943668,stable_positive
kazakhstan2022,Candidatus Soleaferrea,10,10,0,0,0.02412313277410697,0.029411396664182958,stable_positive
kazakhstan2022,Candidatus Solibacter,10,0,10,0,-0.01446980449026283,-0.01599547703259558,stable_negative
kazakhstan2022,Candidatus Udaeobacter,10,5,5,0,-0.000281107580152521,-0.0014578593556678937,unstable
kazakhstan2022,Castellaniella,10,0,10,0,-0.07468871360708507,-0.09108710323919914,stable_negative
kazakhstan2022,Catabacter,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Catenibacillus,10,0,10,0,-0.018021144322904414,-0.02156263690657587,stable_negative
kazakhstan2022,Catenibacterium,10,2,8,0,-0.008390438367488064,-0.006638429942549542,stable_negative
kazakhstan2022,Catenisphaera,10,10,0,0,0.03850388735997026,0.04996749725767061,stable_positive
