correction,experiment,train_cohort,test_cohort,model,n_train,n_test,auc,ci_lo,ci_hi
combatseq,pairwise,zhuang2018,ling2020,logreg,86,171,0.6017,0.5095,0.6875
combatseq,pairwise,zhuang2018,ling2020,lgbm,86,171,0.5784,0.488,0.6598
combatseq,pairwise,zhuang2018,shanghai2022,logreg,86,60,0.5533,0.3804,0.6926
combatseq,pairwise,zhuang2018,shanghai2022,lgbm,86,60,0.58,0.4104,0.7132
combatseq,pairwise,zhuang2018,kazakhstan2022,logreg,86,84,0.3029,0.1898,0.4205
combatseq,pairwise,zhuang2018,kazakhstan2022,lgbm,86,84,0.4172,0.3033,0.5448
combatseq,pairwise,ling2020,zhuang2018,logreg,171,86,0.5906,0.4673,0.7134
combatseq,pairwise,ling2020,zhuang2018,lgbm,171,86,0.5998,0.4764,0.7274
combatseq,pairwise,ling2020,shanghai2022,logreg,171,60,0.8756,0.7737,0.9514
combatseq,pairwise,ling2020,shanghai2022,lgbm,171,60,0.8744,0.7834,0.9466
combatseq,pairwise,ling2020,kazakhstan2022,logreg,171,84,0.3352,0.2256,0.4566
combatseq,pairwise,ling2020,kazakhstan2022,lgbm,171,84,0.4124,0.2884,0.5476
combatseq,pairwise,shanghai2022,zhuang2018,logreg,60,86,0.5933,0.4757,0.7201
combatseq,pairwise,shanghai2022,zhuang2018,lgbm,60,86,0.5895,0.4667,0.7067
combatseq,pairwise,shanghai2022,ling2020,logreg,60,171,0.7842,0.712,0.8543
combatseq,pairwise,shanghai2022,ling2020,lgbm,60,171,0.5569,0.4614,0.6458
combatseq,pairwise,shanghai2022,kazakhstan2022,logreg,60,84,0.3857,0.2662,0.5061
combatseq,pairwise,shanghai2022,kazakhstan2022,lgbm,60,84,0.4538,0.3281,0.584
combatseq,pairwise,kazakhstan2022,zhuang2018,logreg,84,86,0.1985,0.1069,0.2922
combatseq,pairwise,kazakhstan2022,zhuang2018,lgbm,84,86,0.3986,0.2864,0.5398
combatseq,pairwise,kazakhstan2022,ling2020,logreg,84,171,0.1828,0.1226,0.2473
combatseq,pairwise,kazakhstan2022,ling2020,lgbm,84,171,0.3699,0.2869,0.4523
combatseq,pairwise,kazakhstan2022,shanghai2022,logreg,84,60,0.1233,0.0429,0.2183
combatseq,pairwise,kazakhstan2022,shanghai2022,lgbm,84,60,0.2833,0.1683,0.4156
mmuphin,pairwise,zhuang2018,ling2020,logreg,86,171,0.582,0.4871,0.6663
mmuphin,pairwise,zhuang2018,ling2020,lgbm,86,171,0.5806,0.4928,0.6649
mmuphin,pairwise,zhuang2018,shanghai2022,logreg,86,60,0.5633,0.3967,0.7042
mmuphin,pairwise,zhuang2018,shanghai2022,lgbm,86,60,0.7244,0.5751,0.8415
mmuphin,pairwise,zhuang2018,kazakhstan2022,logreg,86,84,0.5337,0.4042,0.6642
mmuphin,pairwise,zhuang2018,kazakhstan2022,lgbm,86,84,0.561,0.4358,0.6871
mmuphin,pairwise,ling2020,zhuang2018,logreg,171,86,0.5727,0.4448,0.6935
mmuphin,pairwise,ling2020,zhuang2018,lgbm,171,86,0.6176,0.4846,0.7464
mmuphin,pairwise,ling2020,shanghai2022,logreg,171,60,0.8589,0.759,0.9424
mmuphin,pairwise,ling2020,shanghai2022,lgbm,171,60,0.76,0.6344,0.8734
mmuphin,pairwise,ling2020,kazakhstan2022,logreg,171,84,0.485,0.3625,0.6126
mmuphin,pairwise,ling2020,kazakhstan2022,lgbm,171,84,0.5423,0.4209,0.6812
mmuphin,pairwise,shanghai2022,zhuang2018,logreg,60,86,0.5782,0.4543,0.6949
mmuphin,pairwise,shanghai2022,zhuang2018,lgbm,60,86,0.5197,0.3901,0.6364
mmuphin,pairwise,shanghai2022,ling2020,logreg,60,171,0.7575,0.6869,0.8278
mmuphin,pairwise,shanghai2022,ling2020,lgbm,60,171,0.5728,0.4831,0.6624
mmuphin,pairwise,shanghai2022,kazakhstan2022,logreg,60,84,0.515,0.397,0.6376
mmuphin,pairwise,shanghai2022,kazakhstan2022,lgbm,60,84,0.477,0.3501,0.6117
mmuphin,pairwise,kazakhstan2022,zhuang2018,logreg,84,86,0.4792,0.3529,0.6125
mmuphin,pairwise,kazakhstan2022,zhuang2018,lgbm,84,86,0.4159,0.2867,0.5312
mmuphin,pairwise,kazakhstan2022,ling2020,logreg,84,171,0.1985,0.1355,0.2658
mmuphin,pairwise,kazakhstan2022,ling2020,lgbm,84,171,0.3791,0.2957,0.4609
mmuphin,pairwise,kazakhstan2022,shanghai2022,logreg,84,60,0.3233,0.1805,0.464
mmuphin,pairwise,kazakhstan2022,shanghai2022,lgbm,84,60,0.2256,0.1133,0.3449
