correction,experiment,train_cohort,test_cohort,model,n_train,n_test,auc,ci_lo,ci_hi
combatseq_labelblind,pairwise,zhuang2018,ling2020,logreg,86,171,0.5786,0.4819,0.6603
combatseq_labelblind,pairwise,zhuang2018,ling2020,lgbm,86,171,0.5659,0.4752,0.6453
combatseq_labelblind,pairwise,zhuang2018,shanghai2022,logreg,86,60,0.5378,0.367,0.6774
combatseq_labelblind,pairwise,zhuang2018,shanghai2022,lgbm,86,60,0.65,0.4844,0.7731
combatseq_labelblind,pairwise,zhuang2018,kazakhstan2022,logreg,86,84,0.5111,0.3808,0.6393
combatseq_labelblind,pairwise,zhuang2018,kazakhstan2022,lgbm,86,84,0.5298,0.4044,0.6668
combatseq_labelblind,pairwise,ling2020,zhuang2018,logreg,171,86,0.576,0.4536,0.6973
combatseq_labelblind,pairwise,ling2020,zhuang2018,lgbm,171,86,0.5744,0.4462,0.6987
combatseq_labelblind,pairwise,ling2020,shanghai2022,logreg,171,60,0.8589,0.7497,0.9428
combatseq_labelblind,pairwise,ling2020,shanghai2022,lgbm,171,60,0.8689,0.7789,0.9489
combatseq_labelblind,pairwise,ling2020,kazakhstan2022,logreg,171,84,0.6086,0.4861,0.7301
combatseq_labelblind,pairwise,ling2020,kazakhstan2022,lgbm,171,84,0.5888,0.4525,0.7117
combatseq_labelblind,pairwise,shanghai2022,zhuang2018,logreg,60,86,0.5809,0.4644,0.7041
combatseq_labelblind,pairwise,shanghai2022,zhuang2018,lgbm,60,86,0.5706,0.4506,0.6813
combatseq_labelblind,pairwise,shanghai2022,ling2020,logreg,60,171,0.7703,0.6973,0.8441
combatseq_labelblind,pairwise,shanghai2022,ling2020,lgbm,60,171,0.5541,0.4655,0.6483
combatseq_labelblind,pairwise,shanghai2022,kazakhstan2022,logreg,60,84,0.5355,0.4072,0.6548
combatseq_labelblind,pairwise,shanghai2022,kazakhstan2022,lgbm,60,84,0.5196,0.3952,0.6477
combatseq_labelblind,pairwise,kazakhstan2022,zhuang2018,logreg,84,86,0.4684,0.3353,0.6
combatseq_labelblind,pairwise,kazakhstan2022,zhuang2018,lgbm,84,86,0.4127,0.2853,0.5341
combatseq_labelblind,pairwise,kazakhstan2022,ling2020,logreg,84,171,0.6873,0.609,0.7678
combatseq_labelblind,pairwise,kazakhstan2022,ling2020,lgbm,84,171,0.6424,0.5649,0.7201
combatseq_labelblind,pairwise,kazakhstan2022,shanghai2022,logreg,84,60,0.6122,0.463,0.7464
combatseq_labelblind,pairwise,kazakhstan2022,shanghai2022,lgbm,84,60,0.5711,0.4213,0.713
mmuphin_labelblind,pairwise,zhuang2018,ling2020,logreg,86,171,0.5607,0.4634,0.6485
mmuphin_labelblind,pairwise,zhuang2018,ling2020,lgbm,86,171,0.5345,0.4415,0.6238
mmuphin_labelblind,pairwise,zhuang2018,shanghai2022,logreg,86,60,0.5433,0.3771,0.6854
mmuphin_labelblind,pairwise,zhuang2018,shanghai2022,lgbm,86,60,0.69,0.5458,0.8131
mmuphin_labelblind,pairwise,zhuang2018,kazakhstan2022,logreg,86,84,0.5718,0.4441,0.6952
mmuphin_labelblind,pairwise,zhuang2018,kazakhstan2022,lgbm,86,84,0.5706,0.4392,0.6889
mmuphin_labelblind,pairwise,ling2020,zhuang2018,logreg,171,86,0.556,0.4244,0.6786
mmuphin_labelblind,pairwise,ling2020,zhuang2018,lgbm,171,86,0.5619,0.4315,0.6886
mmuphin_labelblind,pairwise,ling2020,shanghai2022,logreg,171,60,0.86,0.7597,0.9423
mmuphin_labelblind,pairwise,ling2020,shanghai2022,lgbm,171,60,0.8011,0.6921,0.9048
mmuphin_labelblind,pairwise,ling2020,kazakhstan2022,logreg,171,84,0.5916,0.4682,0.7134
mmuphin_labelblind,pairwise,ling2020,kazakhstan2022,lgbm,171,84,0.6183,0.4971,0.7401
mmuphin_labelblind,pairwise,shanghai2022,zhuang2018,logreg,60,86,0.569,0.4435,0.6878
mmuphin_labelblind,pairwise,shanghai2022,zhuang2018,lgbm,60,86,0.5419,0.4233,0.6636
mmuphin_labelblind,pairwise,shanghai2022,ling2020,logreg,60,171,0.7504,0.6783,0.8221
mmuphin_labelblind,pairwise,shanghai2022,ling2020,lgbm,60,171,0.5722,0.4797,0.6618
mmuphin_labelblind,pairwise,shanghai2022,kazakhstan2022,logreg,60,84,0.5621,0.4441,0.6825
mmuphin_labelblind,pairwise,shanghai2022,kazakhstan2022,lgbm,60,84,0.5145,0.3806,0.6511
mmuphin_labelblind,pairwise,kazakhstan2022,zhuang2018,logreg,84,86,0.5398,0.42,0.6683
mmuphin_labelblind,pairwise,kazakhstan2022,zhuang2018,lgbm,84,86,0.4224,0.2954,0.5382
mmuphin_labelblind,pairwise,kazakhstan2022,ling2020,logreg,84,171,0.7208,0.6393,0.7984
mmuphin_labelblind,pairwise,kazakhstan2022,ling2020,lgbm,84,171,0.6879,0.6067,0.7668
mmuphin_labelblind,pairwise,kazakhstan2022,shanghai2022,logreg,84,60,0.6078,0.4582,0.7383
mmuphin_labelblind,pairwise,kazakhstan2022,shanghai2022,lgbm,84,60,0.4556,0.3088,0.6008
