train_cohort,test_cohort,model,n_train,n_test,n_retained_genera,auc_training_only,ci_lo_training_only,ci_hi_training_only
zhuang2018,ling2020,logreg,86,171,131,0.598,0.511,0.6888
zhuang2018,ling2020,lgbm,86,171,131,0.5627,0.471,0.6508
zhuang2018,shanghai2022,logreg,86,60,131,0.6967,0.5528,0.8432
zhuang2018,shanghai2022,lgbm,86,60,131,0.6422,0.4961,0.7787
zhuang2018,kazakhstan2022,logreg,86,84,131,0.5825,0.4503,0.71
zhuang2018,kazakhstan2022,lgbm,86,84,131,0.5859,0.4606,0.7077
ling2020,zhuang2018,logreg,171,86,126,0.5187,0.4082,0.6426
ling2020,zhuang2018,lgbm,171,86,126,0.6387,0.5329,0.7491
ling2020,shanghai2022,logreg,171,60,126,0.8578,0.7462,0.9495
ling2020,shanghai2022,lgbm,171,60,126,0.8167,0.6985,0.9077
ling2020,kazakhstan2022,logreg,171,84,126,0.6007,0.4725,0.7285
ling2020,kazakhstan2022,lgbm,171,84,126,0.5581,0.4223,0.6807
shanghai2022,zhuang2018,logreg,60,86,115,0.5938,0.471,0.712
shanghai2022,zhuang2018,lgbm,60,86,115,0.5333,0.4101,0.6598
shanghai2022,ling2020,logreg,60,171,115,0.7225,0.6525,0.795
shanghai2022,ling2020,lgbm,60,171,115,0.6577,0.5732,0.7334
shanghai2022,kazakhstan2022,logreg,60,84,115,0.5661,0.4409,0.6971
shanghai2022,kazakhstan2022,lgbm,60,84,115,0.4325,0.3054,0.5627
kazakhstan2022,zhuang2018,logreg,84,86,356,0.5446,0.432,0.6705
kazakhstan2022,zhuang2018,lgbm,84,86,356,0.5149,0.39,0.6391
kazakhstan2022,ling2020,logreg,84,171,356,0.739,0.662,0.8108
kazakhstan2022,ling2020,lgbm,84,171,356,0.4359,0.3512,0.5327
kazakhstan2022,shanghai2022,logreg,84,60,356,0.65,0.4983,0.7879
kazakhstan2022,shanghai2022,lgbm,84,60,356,0.5667,0.4166,0.7166
