config,test_cohort,model,loco_auc,ci_lower,ci_upper
exclude_kazakhstan,zhuang2018,logreg,0.5122,0.381,0.6396
exclude_kazakhstan,zhuang2018,lgbm,0.5673,0.4417,0.6927
exclude_kazakhstan,ling2020,logreg,0.6582,0.579,0.7371
exclude_kazakhstan,ling2020,lgbm,0.7342,0.658,0.8087
exclude_kazakhstan,shanghai2022,logreg,0.8344,0.7085,0.9345
exclude_kazakhstan,shanghai2022,lgbm,0.7444,0.6194,0.8646
exclude_zhuang2018,ling2020,logreg,0.8061,0.7371,0.8742
exclude_zhuang2018,ling2020,lgbm,0.6863,0.6065,0.7654
exclude_zhuang2018,shanghai2022,logreg,0.8633,0.744,0.9543
exclude_zhuang2018,shanghai2022,lgbm,0.8556,0.7464,0.9444
exclude_zhuang2018,kazakhstan2022,logreg,0.599,0.4844,0.7208
exclude_zhuang2018,kazakhstan2022,lgbm,0.4946,0.3698,0.621
exclude_ling2020,zhuang2018,logreg,0.5327,0.4061,0.6528
exclude_ling2020,zhuang2018,lgbm,0.5057,0.3857,0.6234
exclude_ling2020,shanghai2022,logreg,0.6944,0.5395,0.8191
exclude_ling2020,shanghai2022,lgbm,0.5589,0.4108,0.7014
exclude_ling2020,kazakhstan2022,logreg,0.6035,0.472,0.7277
exclude_ling2020,kazakhstan2022,lgbm,0.5593,0.4257,0.6769
