taxon,cohort,mean_shap,mean_abs_shap,rank_in_cohort,in_top_n,n_cohorts_in_top,model
Agathobacter,zhuang2018,-0.0014085163481678386,0.047540191391576274,9,True,2,logreg
Agathobacter,ling2020,-0.008246178387266285,0.12400636716322867,5,True,2,logreg
Agathobacter,shanghai2022,-0.003946697067014553,0.0259601343394279,68,False,2,logreg
Agathobacter,kazakhstan2022,-0.0008557761009712202,0.013669384019689076,192,False,2,logreg
Akkermansia,zhuang2018,-0.0005266839968540136,0.04297185487991494,13,True,4,logreg
Akkermansia,ling2020,-0.0054208132610804914,0.26985694806331356,1,True,4,logreg
Akkermansia,shanghai2022,0.013359953686343361,0.22829103490331365,1,True,4,logreg
Akkermansia,kazakhstan2022,0.0014042949420005695,0.1364230919233214,1,True,4,logreg
Bifidobacterium,zhuang2018,0.015677214155600225,0.05171805083375621,8,True,3,logreg
Bifidobacterium,ling2020,-0.006121410915742574,0.08593092731498364,13,True,3,logreg
Bifidobacterium,shanghai2022,-0.001991370354607097,0.09050198716820222,15,True,3,logreg
Bifidobacterium,kazakhstan2022,0.003975419393403021,0.03895896021379929,52,False,3,logreg
Christensenellaceae R-7 group,zhuang2018,-0.0036397640890206695,0.05405997154359376,6,True,3,logreg
Christensenellaceae R-7 group,ling2020,0.0062791492381039805,0.09781025041380206,11,True,3,logreg
Christensenellaceae R-7 group,shanghai2022,0.0005464701478281496,0.09378424812615685,14,True,3,logreg
Christensenellaceae R-7 group,kazakhstan2022,-0.0013446034103377419,0.007344134811818117,285,False,3,logreg
Coprococcus,zhuang2018,0.013045296157300683,0.0820697042813386,2,True,2,logreg
Coprococcus,ling2020,0.00040406594960254027,0.10564071650533167,9,True,2,logreg
Coprococcus,shanghai2022,-0.005452629627250588,0.05984423952957743,35,False,2,logreg
Coprococcus,kazakhstan2022,0.00017224894604639656,0.011120229194571472,226,False,2,logreg
Dorea,zhuang2018,0.0013356655173376178,0.010666566108316716,77,False,2,logreg
Dorea,ling2020,0.0025218984705899076,0.06639742524135482,19,True,2,logreg
Dorea,shanghai2022,0.0032911084958988112,0.08722344082819906,18,True,2,logreg
Dorea,kazakhstan2022,0.0018734828548858907,0.014170903598315535,181,False,2,logreg
Eisenbergiella,zhuang2018,-0.0027044339901236216,0.06772493512321975,4,True,2,logreg
Eisenbergiella,ling2020,-0.001559171786866202,0.024933490871646712,65,False,2,logreg
Eisenbergiella,shanghai2022,-0.0032633765986363537,0.08863341005860939,16,True,2,logreg
Eisenbergiella,kazakhstan2022,0.0031914784793472322,0.033223136004795234,61,False,2,logreg
Enterococcus,zhuang2018,-0.006371537437237692,0.03600340568172845,20,True,2,logreg
Enterococcus,ling2020,-0.004651129252201012,0.0813237705421178,16,True,2,logreg
Enterococcus,shanghai2022,0.00021780337357882041,0.021375967721157026,75,False,2,logreg
Enterococcus,kazakhstan2022,0.0023370794575378376,0.03873287633103485,53,False,2,logreg
Lactobacillus,zhuang2018,0.0022319069897805675,0.010441517330327882,79,False,3,logreg
Lactobacillus,ling2020,-0.0006523920671118709,0.11433628360263316,7,True,3,logreg
Lactobacillus,shanghai2022,-0.0018480871938431874,0.11161418411290072,10,True,3,logreg
Lactobacillus,kazakhstan2022,0.0003973168220144911,0.12503287816961597,2,True,3,logreg
NK4A214 group,zhuang2018,-0.0037897130476066145,0.04583050498061461,10,True,2,logreg
NK4A214 group,ling2020,0.004031005694097143,0.07806348353872097,18,True,2,logreg
NK4A214 group,shanghai2022,0.0005747540355096246,0.017741835671348023,84,False,2,logreg
NK4A214 group,kazakhstan2022,0.0028617246625357562,0.025549822553315577,101,False,2,logreg
Parasutterella,zhuang2018,0.0050116285371801655,0.03962343938491095,15,True,2,logreg
Parasutterella,ling2020,0.005707723316453032,0.050625599816192635,32,False,2,logreg
Parasutterella,shanghai2022,-0.0017360427318458618,0.11683743735545198,8,True,2,logreg
Parasutterella,kazakhstan2022,0.0005987754977048041,0.0408003864086305,46,False,2,logreg
Romboutsia,zhuang2018,-0.009080444097865056,0.03958750840258206,16,True,2,logreg
Romboutsia,ling2020,-0.04660020237702659,0.1746337514297156,3,True,2,logreg
Romboutsia,shanghai2022,0.00415093820572471,0.04813042242782729,44,False,2,logreg
Romboutsia,kazakhstan2022,-0.002677298845411453,0.012844203934616293,200,False,2,logreg
Ruminococcus gnavus group,zhuang2018,-0.011408076177821401,0.07884158814251681,3,True,3,logreg
Ruminococcus gnavus group,ling2020,-0.0007236468570547522,0.10667133586256684,8,True,3,logreg
Ruminococcus gnavus group,shanghai2022,0.006096794946325534,0.10430435082948683,11,True,3,logreg
Ruminococcus gnavus group,kazakhstan2022,-0.007469171550674665,0.03406742637609722,60,False,3,logreg
Subdoligranulum,zhuang2018,-0.019558265998520938,0.14145321354825172,1,True,2,logreg
Subdoligranulum,ling2020,0.00035541999039671613,0.011541679460778968,108,False,2,logreg
Subdoligranulum,shanghai2022,0.005931377133159605,0.08761006316573751,17,True,2,logreg
Subdoligranulum,kazakhstan2022,0.0005856442197035631,0.00377635013342257,344,False,2,logreg
Agathobacter,zhuang2018,0.0020588071149906097,0.00546388854388292,105,False,2,lgbm
Agathobacter,ling2020,0.0018621560610872238,0.2647215399449827,10,True,2,lgbm
Agathobacter,shanghai2022,0.0,0.0,268,False,2,lgbm
Agathobacter,kazakhstan2022,-0.005848449381025616,0.06174612432315955,17,True,2,lgbm
Akkermansia,zhuang2018,0.014409592204627066,0.0666068527310668,27,False,2,lgbm
Akkermansia,ling2020,-0.002179609204548816,0.9474462769265003,1,True,2,lgbm
Akkermansia,shanghai2022,-0.0015746118504607629,0.045637055404892095,18,True,2,lgbm
Akkermansia,kazakhstan2022,-0.00010490160781296741,0.03675305118443336,33,False,2,lgbm
Bacteroides,zhuang2018,0.016072793973957705,0.1495171949903774,16,True,2,lgbm
Bacteroides,ling2020,-0.006238759134286587,0.034848943675633674,57,False,2,lgbm
Bacteroides,shanghai2022,0.03217979722263836,1.2433660228200367,1,True,2,lgbm
Bacteroides,kazakhstan2022,0.0005569645165534867,0.0015862567848900777,144,False,2,lgbm
Bifidobacterium,zhuang2018,0.016396493872753617,0.053426722093166776,31,False,2,lgbm
Bifidobacterium,ling2020,0.023065745521238464,0.16219912832924516,19,True,2,lgbm
Bifidobacterium,shanghai2022,0.0,0.0,284,False,2,lgbm
Bifidobacterium,kazakhstan2022,0.006563280750922008,0.06195928305174636,16,True,2,lgbm
Colidextribacter,zhuang2018,0.004770016265442506,0.15076844473674667,15,True,2,lgbm
Colidextribacter,ling2020,6.939398875477115e-05,0.011379988291026273,107,False,2,lgbm
Colidextribacter,shanghai2022,-0.010311563139846288,0.05441623821858366,17,True,2,lgbm
Colidextribacter,kazakhstan2022,-0.0023856107688765018,0.0067045801468587,102,False,2,lgbm
Faecalibacterium,zhuang2018,0.0021315723934134598,0.005303518076653536,108,False,2,lgbm
Faecalibacterium,ling2020,0.009153618191998631,0.6326564830807375,2,True,2,lgbm
Faecalibacterium,shanghai2022,-0.0005971229766479967,0.15452610102501743,9,True,2,lgbm
Faecalibacterium,kazakhstan2022,-0.001296862924602302,0.007375051913526952,97,False,2,lgbm
Incertae Sedis,zhuang2018,-0.003171532034051627,0.0065020920593004995,98,False,2,lgbm
Incertae Sedis,ling2020,-0.024181726820602108,0.24461869050486265,12,True,2,lgbm
Incertae Sedis,shanghai2022,0.0047091510441116,0.6734267953851926,3,True,2,lgbm
Incertae Sedis,kazakhstan2022,0.0010658499183146338,0.0010658499183146338,149,False,2,lgbm
Lachnospira,zhuang2018,0.0059750102779010964,0.04587832683806069,35,False,2,lgbm
Lachnospira,ling2020,-0.0005166794486685706,0.49047566828384226,4,True,2,lgbm
Lachnospira,shanghai2022,0.013072236270084785,0.03573077913823175,19,True,2,lgbm
Lachnospira,kazakhstan2022,-0.0050133008034710744,0.006889245620253799,100,False,2,lgbm
Lactobacillus,zhuang2018,-5.0394944855356416e-05,0.005501630539964468,103,False,2,lgbm
Lactobacillus,ling2020,-0.005830048085972433,0.30957188238708877,7,True,2,lgbm
Lactobacillus,shanghai2022,0.0,0.0,341,False,2,lgbm
Lactobacillus,kazakhstan2022,0.0252934023678079,0.2381290227725133,4,True,2,lgbm
Oscillibacter,zhuang2018,0.003652410299399135,0.5571259027838558,2,True,2,lgbm
Oscillibacter,ling2020,0.0005663934927842817,0.023076821153919506,71,False,2,lgbm
Oscillibacter,shanghai2022,0.0,0.0,96,False,2,lgbm
Oscillibacter,kazakhstan2022,-0.002904606684971103,0.05896072269238343,18,True,2,lgbm
