experiment,split_id,n_retained_genera
within_cohort_zhuang2018,outer_fold_0,131
within_cohort_zhuang2018,outer_fold_1,131
within_cohort_zhuang2018,outer_fold_2,130
within_cohort_zhuang2018,outer_fold_3,129
within_cohort_zhuang2018,outer_fold_4,130
within_cohort_zhuang2018,outer_fold_5,132
within_cohort_zhuang2018,outer_fold_6,130
within_cohort_zhuang2018,outer_fold_7,130
within_cohort_zhuang2018,outer_fold_8,130
within_cohort_zhuang2018,outer_fold_9,132
within_cohort_ling2020,outer_fold_0,125
within_cohort_ling2020,outer_fold_1,127
within_cohort_ling2020,outer_fold_2,128
within_cohort_ling2020,outer_fold_3,125
within_cohort_ling2020,outer_fold_4,127
within_cohort_ling2020,outer_fold_5,128
within_cohort_ling2020,outer_fold_6,129
within_cohort_ling2020,outer_fold_7,128
within_cohort_ling2020,outer_fold_8,127
within_cohort_ling2020,outer_fold_9,126
within_cohort_shanghai2022,outer_fold_0,117
within_cohort_shanghai2022,outer_fold_1,113
within_cohort_shanghai2022,outer_fold_2,116
within_cohort_shanghai2022,outer_fold_3,116
within_cohort_shanghai2022,outer_fold_4,116
within_cohort_shanghai2022,outer_fold_5,118
within_cohort_shanghai2022,outer_fold_6,112
within_cohort_shanghai2022,outer_fold_7,118
within_cohort_shanghai2022,outer_fold_8,119
within_cohort_shanghai2022,outer_fold_9,117
within_cohort_kazakhstan2022,outer_fold_0,361
within_cohort_kazakhstan2022,outer_fold_1,349
within_cohort_kazakhstan2022,outer_fold_2,355
within_cohort_kazakhstan2022,outer_fold_3,355
within_cohort_kazakhstan2022,outer_fold_4,351
within_cohort_kazakhstan2022,outer_fold_5,342
within_cohort_kazakhstan2022,outer_fold_6,348
within_cohort_kazakhstan2022,outer_fold_7,355
within_cohort_kazakhstan2022,outer_fold_8,352
within_cohort_kazakhstan2022,outer_fold_9,354
loco,holdout_zhuang2018,370
loco,holdout_ling2020,370
loco,holdout_shanghai2022,373
loco,holdout_kazakhstan2022,150
pairwise,train_zhuang2018,131
pairwise,train_ling2020,126
pairwise,train_shanghai2022,115
pairwise,train_kazakhstan2022,356
