experiment,split_id,genus
within_cohort_zhuang2018,outer_fold_0,Acinetobacter
within_cohort_zhuang2018,outer_fold_0,Actinomyces
within_cohort_zhuang2018,outer_fold_0,Adlercreutzia
within_cohort_zhuang2018,outer_fold_0,Agathobacter
within_cohort_zhuang2018,outer_fold_0,Akkermansia
within_cohort_zhuang2018,outer_fold_0,Alistipes
within_cohort_zhuang2018,outer_fold_0,Allisonella
within_cohort_zhuang2018,outer_fold_0,Anaerostipes
within_cohort_zhuang2018,outer_fold_0,Anaerotruncus
within_cohort_zhuang2018,outer_fold_0,Atopobium
within_cohort_zhuang2018,outer_fold_0,Bacteroides
within_cohort_zhuang2018,outer_fold_0,Barnesiella
within_cohort_zhuang2018,outer_fold_0,Bifidobacterium
within_cohort_zhuang2018,outer_fold_0,Bilophila
within_cohort_zhuang2018,outer_fold_0,Blautia
within_cohort_zhuang2018,outer_fold_0,Butyricicoccus
within_cohort_zhuang2018,outer_fold_0,Butyricimonas
within_cohort_zhuang2018,outer_fold_0,CAG-352
within_cohort_zhuang2018,outer_fold_0,CAG-56
within_cohort_zhuang2018,outer_fold_0,Candidatus Soleaferrea
within_cohort_zhuang2018,outer_fold_0,Catabacter
within_cohort_zhuang2018,outer_fold_0,Christensenella
within_cohort_zhuang2018,outer_fold_0,Christensenellaceae R-7 group
within_cohort_zhuang2018,outer_fold_0,Clostridium sensu stricto 1
within_cohort_zhuang2018,outer_fold_0,Colidextribacter
within_cohort_zhuang2018,outer_fold_0,Collinsella
within_cohort_zhuang2018,outer_fold_0,Coprobacillus
within_cohort_zhuang2018,outer_fold_0,Coprococcus
within_cohort_zhuang2018,outer_fold_0,Corynebacterium
within_cohort_zhuang2018,outer_fold_0,DTU089
within_cohort_zhuang2018,outer_fold_0,Defluviitaleaceae UCG-011
within_cohort_zhuang2018,outer_fold_0,Desulfovibrio
within_cohort_zhuang2018,outer_fold_0,Dialister
within_cohort_zhuang2018,outer_fold_0,Dorea
within_cohort_zhuang2018,outer_fold_0,Eggerthella
within_cohort_zhuang2018,outer_fold_0,Eisenbergiella
within_cohort_zhuang2018,outer_fold_0,Enterobacter
within_cohort_zhuang2018,outer_fold_0,Enterococcus
within_cohort_zhuang2018,outer_fold_0,Erysipelatoclostridium
within_cohort_zhuang2018,outer_fold_0,Erysipelotrichaceae UCG-003
within_cohort_zhuang2018,outer_fold_0,Escherichia-Shigella
within_cohort_zhuang2018,outer_fold_0,Eubacterium
within_cohort_zhuang2018,outer_fold_0,Eubacterium brachy group
within_cohort_zhuang2018,outer_fold_0,Eubacterium eligens group
within_cohort_zhuang2018,outer_fold_0,Eubacterium hallii group
within_cohort_zhuang2018,outer_fold_0,Eubacterium ventriosum group
within_cohort_zhuang2018,outer_fold_0,Faecalibacterium
within_cohort_zhuang2018,outer_fold_0,Faecalitalea
within_cohort_zhuang2018,outer_fold_0,Family XIII AD3011 group
within_cohort_zhuang2018,outer_fold_0,Family XIII UCG-001
within_cohort_zhuang2018,outer_fold_0,Flavonifractor
within_cohort_zhuang2018,outer_fold_0,Fusicatenibacter
within_cohort_zhuang2018,outer_fold_0,Fusobacterium
within_cohort_zhuang2018,outer_fold_0,GCA-900066575
within_cohort_zhuang2018,outer_fold_0,Gemella
within_cohort_zhuang2018,outer_fold_0,Gordonibacter
within_cohort_zhuang2018,outer_fold_0,HT002
within_cohort_zhuang2018,outer_fold_0,Haemophilus
within_cohort_zhuang2018,outer_fold_0,Holdemanella
within_cohort_zhuang2018,outer_fold_0,Holdemania
within_cohort_zhuang2018,outer_fold_0,Hungatella
within_cohort_zhuang2018,outer_fold_0,Incertae Sedis
within_cohort_zhuang2018,outer_fold_0,Intestinibacter
within_cohort_zhuang2018,outer_fold_0,Intestinimonas
within_cohort_zhuang2018,outer_fold_0,Klebsiella
within_cohort_zhuang2018,outer_fold_0,Lachnoclostridium
within_cohort_zhuang2018,outer_fold_0,Lachnospira
within_cohort_zhuang2018,outer_fold_0,Lachnospiraceae FCS020 group
within_cohort_zhuang2018,outer_fold_0,Lachnospiraceae ND3007 group
within_cohort_zhuang2018,outer_fold_0,Lachnospiraceae NK4A136 group
within_cohort_zhuang2018,outer_fold_0,Lachnospiraceae UCG-001
within_cohort_zhuang2018,outer_fold_0,Lachnospiraceae UCG-004
within_cohort_zhuang2018,outer_fold_0,Lachnospiraceae UCG-010
within_cohort_zhuang2018,outer_fold_0,Lactobacillus
within_cohort_zhuang2018,outer_fold_0,Lactococcus
within_cohort_zhuang2018,outer_fold_0,Ligilactobacillus
within_cohort_zhuang2018,outer_fold_0,Limosilactobacillus
within_cohort_zhuang2018,outer_fold_0,Marvinbryantia
within_cohort_zhuang2018,outer_fold_0,Massilia
within_cohort_zhuang2018,outer_fold_0,Megamonas
within_cohort_zhuang2018,outer_fold_0,Megasphaera
within_cohort_zhuang2018,outer_fold_0,Methylobacterium-Methylorubrum
within_cohort_zhuang2018,outer_fold_0,Monoglobus
within_cohort_zhuang2018,outer_fold_0,NK4A214 group
within_cohort_zhuang2018,outer_fold_0,Negativibacillus
within_cohort_zhuang2018,outer_fold_0,Odoribacter
within_cohort_zhuang2018,outer_fold_0,Oscillibacter
within_cohort_zhuang2018,outer_fold_0,Paludicola
within_cohort_zhuang2018,outer_fold_0,Parabacteroides
within_cohort_zhuang2018,outer_fold_0,Paracoccus
within_cohort_zhuang2018,outer_fold_0,Paraprevotella
within_cohort_zhuang2018,outer_fold_0,Parasutterella
within_cohort_zhuang2018,outer_fold_0,Peptostreptococcus
within_cohort_zhuang2018,outer_fold_0,Phascolarctobacterium
within_cohort_zhuang2018,outer_fold_0,Phocea
within_cohort_zhuang2018,outer_fold_0,Prevotella
within_cohort_zhuang2018,outer_fold_0,Prevotella_9
within_cohort_zhuang2018,outer_fold_0,Pseudomonas
within_cohort_zhuang2018,outer_fold_0,Pyramidobacter
within_cohort_zhuang2018,outer_fold_0,Raoultibacter
within_cohort_zhuang2018,outer_fold_0,Rhodococcus
within_cohort_zhuang2018,outer_fold_0,Romboutsia
within_cohort_zhuang2018,outer_fold_0,Roseburia
within_cohort_zhuang2018,outer_fold_0,Rothia
within_cohort_zhuang2018,outer_fold_0,Ruminococcus
within_cohort_zhuang2018,outer_fold_0,Ruminococcus gnavus group
within_cohort_zhuang2018,outer_fold_0,Ruminococcus torques group
within_cohort_zhuang2018,outer_fold_0,Sellimonas
within_cohort_zhuang2018,outer_fold_0,Solobacterium
within_cohort_zhuang2018,outer_fold_0,Streptococcus
within_cohort_zhuang2018,outer_fold_0,Subdoligranulum
within_cohort_zhuang2018,outer_fold_0,Sutterella
within_cohort_zhuang2018,outer_fold_0,TM7x
within_cohort_zhuang2018,outer_fold_0,Terrisporobacter
within_cohort_zhuang2018,outer_fold_0,Thermus
within_cohort_zhuang2018,outer_fold_0,Turicibacter
within_cohort_zhuang2018,outer_fold_0,Tyzzerella
within_cohort_zhuang2018,outer_fold_0,UBA1819
within_cohort_zhuang2018,outer_fold_0,UCG-002
within_cohort_zhuang2018,outer_fold_0,UCG-003
within_cohort_zhuang2018,outer_fold_0,UCG-005
within_cohort_zhuang2018,outer_fold_0,UCG-009
within_cohort_zhuang2018,outer_fold_0,Veillonella
within_cohort_zhuang2018,outer_fold_0,Weissella
within_cohort_zhuang2018,outer_fold_0,[Clostridium] innocuum group
within_cohort_zhuang2018,outer_fold_0,[Eubacterium] fissicatena group
within_cohort_zhuang2018,outer_fold_0,[Eubacterium] nodatum group
within_cohort_zhuang2018,outer_fold_0,[Eubacterium] ruminantium group
within_cohort_zhuang2018,outer_fold_0,[Eubacterium] siraeum group
within_cohort_zhuang2018,outer_fold_0,[Eubacterium] xylanophilum group
within_cohort_zhuang2018,outer_fold_0,[Ruminococcus] gauvreauii group
within_cohort_zhuang2018,outer_fold_1,Acinetobacter
within_cohort_zhuang2018,outer_fold_1,Actinomyces
within_cohort_zhuang2018,outer_fold_1,Adlercreutzia
within_cohort_zhuang2018,outer_fold_1,Agathobacter
within_cohort_zhuang2018,outer_fold_1,Akkermansia
within_cohort_zhuang2018,outer_fold_1,Alistipes
within_cohort_zhuang2018,outer_fold_1,Allisonella
within_cohort_zhuang2018,outer_fold_1,Anaerostipes
within_cohort_zhuang2018,outer_fold_1,Anaerotruncus
within_cohort_zhuang2018,outer_fold_1,Atopobium
within_cohort_zhuang2018,outer_fold_1,Bacteroides
within_cohort_zhuang2018,outer_fold_1,Barnesiella
within_cohort_zhuang2018,outer_fold_1,Bifidobacterium
within_cohort_zhuang2018,outer_fold_1,Bilophila
within_cohort_zhuang2018,outer_fold_1,Blautia
within_cohort_zhuang2018,outer_fold_1,Butyricicoccus
within_cohort_zhuang2018,outer_fold_1,Butyricimonas
within_cohort_zhuang2018,outer_fold_1,CAG-352
within_cohort_zhuang2018,outer_fold_1,CAG-56
within_cohort_zhuang2018,outer_fold_1,Candidatus Soleaferrea
within_cohort_zhuang2018,outer_fold_1,Catabacter
within_cohort_zhuang2018,outer_fold_1,Christensenella
within_cohort_zhuang2018,outer_fold_1,Christensenellaceae R-7 group
within_cohort_zhuang2018,outer_fold_1,Clostridium sensu stricto 1
within_cohort_zhuang2018,outer_fold_1,Colidextribacter
within_cohort_zhuang2018,outer_fold_1,Collinsella
within_cohort_zhuang2018,outer_fold_1,Coprobacillus
within_cohort_zhuang2018,outer_fold_1,Coprococcus
within_cohort_zhuang2018,outer_fold_1,Corynebacterium
within_cohort_zhuang2018,outer_fold_1,DTU089
within_cohort_zhuang2018,outer_fold_1,Defluviitaleaceae UCG-011
within_cohort_zhuang2018,outer_fold_1,Desulfovibrio
within_cohort_zhuang2018,outer_fold_1,Dialister
within_cohort_zhuang2018,outer_fold_1,Dorea
within_cohort_zhuang2018,outer_fold_1,Eggerthella
within_cohort_zhuang2018,outer_fold_1,Eisenbergiella
within_cohort_zhuang2018,outer_fold_1,Enterobacter
within_cohort_zhuang2018,outer_fold_1,Enterococcus
within_cohort_zhuang2018,outer_fold_1,Erysipelatoclostridium
within_cohort_zhuang2018,outer_fold_1,Erysipelotrichaceae UCG-003
within_cohort_zhuang2018,outer_fold_1,Escherichia-Shigella
within_cohort_zhuang2018,outer_fold_1,Eubacterium
within_cohort_zhuang2018,outer_fold_1,Eubacterium brachy group
within_cohort_zhuang2018,outer_fold_1,Eubacterium eligens group
within_cohort_zhuang2018,outer_fold_1,Eubacterium hallii group
within_cohort_zhuang2018,outer_fold_1,Eubacterium ventriosum group
within_cohort_zhuang2018,outer_fold_1,Faecalibacterium
within_cohort_zhuang2018,outer_fold_1,Faecalitalea
within_cohort_zhuang2018,outer_fold_1,Family XIII AD3011 group
within_cohort_zhuang2018,outer_fold_1,Family XIII UCG-001
within_cohort_zhuang2018,outer_fold_1,Flavonifractor
within_cohort_zhuang2018,outer_fold_1,Fusicatenibacter
within_cohort_zhuang2018,outer_fold_1,Fusobacterium
within_cohort_zhuang2018,outer_fold_1,GCA-900066575
within_cohort_zhuang2018,outer_fold_1,Gemella
within_cohort_zhuang2018,outer_fold_1,Gordonibacter
within_cohort_zhuang2018,outer_fold_1,Granulicatella
within_cohort_zhuang2018,outer_fold_1,HT002
within_cohort_zhuang2018,outer_fold_1,Haemophilus
within_cohort_zhuang2018,outer_fold_1,Holdemanella
within_cohort_zhuang2018,outer_fold_1,Holdemania
within_cohort_zhuang2018,outer_fold_1,Hungatella
within_cohort_zhuang2018,outer_fold_1,Incertae Sedis
within_cohort_zhuang2018,outer_fold_1,Intestinibacter
within_cohort_zhuang2018,outer_fold_1,Intestinimonas
within_cohort_zhuang2018,outer_fold_1,Klebsiella
within_cohort_zhuang2018,outer_fold_1,Lachnoclostridium
within_cohort_zhuang2018,outer_fold_1,Lachnospira
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae FCS020 group
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae ND3007 group
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae NK4A136 group
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae UCG-001
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae UCG-004
within_cohort_zhuang2018,outer_fold_1,Lachnospiraceae UCG-010
within_cohort_zhuang2018,outer_fold_1,Lactobacillus
within_cohort_zhuang2018,outer_fold_1,Lactococcus
within_cohort_zhuang2018,outer_fold_1,Ligilactobacillus
within_cohort_zhuang2018,outer_fold_1,Limosilactobacillus
within_cohort_zhuang2018,outer_fold_1,Marvinbryantia
within_cohort_zhuang2018,outer_fold_1,Massilia
within_cohort_zhuang2018,outer_fold_1,Megamonas
within_cohort_zhuang2018,outer_fold_1,Megasphaera
within_cohort_zhuang2018,outer_fold_1,Methylobacterium-Methylorubrum
within_cohort_zhuang2018,outer_fold_1,Monoglobus
within_cohort_zhuang2018,outer_fold_1,NK4A214 group
within_cohort_zhuang2018,outer_fold_1,Negativibacillus
within_cohort_zhuang2018,outer_fold_1,Odoribacter
within_cohort_zhuang2018,outer_fold_1,Oscillibacter
within_cohort_zhuang2018,outer_fold_1,Paludicola
within_cohort_zhuang2018,outer_fold_1,Parabacteroides
within_cohort_zhuang2018,outer_fold_1,Paracoccus
within_cohort_zhuang2018,outer_fold_1,Paraprevotella
within_cohort_zhuang2018,outer_fold_1,Parasutterella
within_cohort_zhuang2018,outer_fold_1,Peptostreptococcus
within_cohort_zhuang2018,outer_fold_1,Phascolarctobacterium
within_cohort_zhuang2018,outer_fold_1,Phocea
within_cohort_zhuang2018,outer_fold_1,Prevotella
within_cohort_zhuang2018,outer_fold_1,Prevotella_9
within_cohort_zhuang2018,outer_fold_1,Pseudomonas
within_cohort_zhuang2018,outer_fold_1,Raoultibacter
within_cohort_zhuang2018,outer_fold_1,Rhodococcus
within_cohort_zhuang2018,outer_fold_1,Romboutsia
