experiment,cohort,model,original_auc,training_only_auc,delta,original_ci,training_only_ci,n_retained_genera_training_only
within_cohort,zhuang2018,logreg,0.6333,0.6647,0.0314,"[0.5115, 0.7513]","[0.5462, 0.7744]",
within_cohort,zhuang2018,lgbm,0.6349,0.6733,0.0384,"[0.5190, 0.7567]","[0.5466, 0.7805]",
within_cohort,ling2020,logreg,0.8648,0.8896,0.0248,"[0.8113, 0.9163]","[0.8357, 0.9330]",
within_cohort,ling2020,lgbm,0.8618,0.8415,-0.0203,"[0.8059, 0.9116]","[0.7809, 0.8935]",
within_cohort,shanghai2022,logreg,0.9978,0.9956,-0.0022,"[0.9896, 1.0000]","[0.9833, 1.0000]",
within_cohort,shanghai2022,lgbm,0.9789,0.97,-0.0089,"[0.9464, 1.0000]","[0.9280, 0.9964]",
within_cohort,kazakhstan2022,logreg,0.7657,0.7368,-0.0289,"[0.6596, 0.8610]","[0.6256, 0.8409]",
within_cohort,kazakhstan2022,lgbm,0.6943,0.6109,-0.0834,"[0.5717, 0.8044]","[0.4932, 0.7295]",
loco,zhuang2018,logreg,0.5041,0.5057,0.0016,"[0.3730, 0.6302]","[0.3925, 0.6288]",370.0
loco,zhuang2018,lgbm,0.5646,0.596,0.0314,"[0.4402, 0.6922]","[0.4830, 0.7166]",370.0
loco,ling2020,logreg,0.6775,0.6794,0.0019,"[0.5919, 0.7554]","[0.6042, 0.7541]",370.0
loco,ling2020,lgbm,0.6735,0.6534,-0.0201,"[0.5924, 0.7529]","[0.5680, 0.7409]",370.0
loco,shanghai2022,logreg,0.8133,0.8122,-0.0011,"[0.6863, 0.9208]","[0.6867, 0.9283]",373.0
loco,shanghai2022,lgbm,0.7578,0.7878,0.03,"[0.6284, 0.8698]","[0.6595, 0.8944]",373.0
loco,kazakhstan2022,logreg,0.5644,0.6092,0.0448,"[0.4387, 0.6916]","[0.4740, 0.7299]",150.0
loco,kazakhstan2022,lgbm,0.5905,0.5247,-0.0658,"[0.4662, 0.7120]","[0.3847, 0.6574]",150.0
