repeat,outer_seed,model,auc,mean_n_genera
0,1000,lgbm,0.9733,116.2
0,1000,logreg,0.9922,116.2
1,1001,lgbm,0.9744,115.6
1,1001,logreg,0.9989,115.6
2,1002,lgbm,0.9811,115.8
2,1002,logreg,0.9978,115.8
3,1003,lgbm,0.9789,115.8
3,1003,logreg,0.9944,115.8
4,1004,lgbm,0.9644,116.1
4,1004,logreg,0.9911,116.1
5,1005,lgbm,0.9922,116.1
5,1005,logreg,0.9989,116.1
6,1006,lgbm,0.9778,114.7
6,1006,logreg,0.99,114.7
7,1007,lgbm,0.9489,115.4
7,1007,logreg,0.9944,115.4
8,1008,lgbm,0.97,115.0
8,1008,logreg,0.9967,115.0
9,1009,lgbm,0.9756,115.9
9,1009,logreg,0.9989,115.9
10,1010,lgbm,0.9789,116.1
10,1010,logreg,0.9956,116.1
11,1011,lgbm,0.9633,115.3
11,1011,logreg,0.9967,115.3
12,1012,lgbm,0.9689,115.4
12,1012,logreg,0.99,115.4
13,1013,lgbm,0.9672,115.4
13,1013,logreg,0.9956,115.4
14,1014,lgbm,0.9678,115.6
14,1014,logreg,0.9956,115.6
15,1015,lgbm,0.9822,115.6
15,1015,logreg,0.9978,115.6
16,1016,lgbm,0.9689,116.3
16,1016,logreg,0.9989,116.3
17,1017,lgbm,0.9878,115.5
17,1017,logreg,0.9956,115.5
18,1018,lgbm,0.9778,115.9
18,1018,logreg,0.9889,115.9
19,1019,lgbm,0.9856,115.7
19,1019,logreg,0.9956,115.7
20,1020,lgbm,0.9789,116.0
20,1020,logreg,0.9911,116.0
21,1021,lgbm,0.9822,115.9
21,1021,logreg,0.9922,115.9
22,1022,lgbm,0.9867,116.1
22,1022,logreg,0.9944,116.1
23,1023,lgbm,0.9778,115.4
23,1023,logreg,0.9978,115.4
24,1024,lgbm,0.9767,115.3
24,1024,logreg,0.9933,115.3
25,1025,lgbm,0.99,115.7
25,1025,logreg,0.9989,115.7
26,1026,lgbm,0.9822,115.1
26,1026,logreg,0.9978,115.1
27,1027,lgbm,0.9722,115.1
27,1027,logreg,0.9956,115.1
28,1028,lgbm,0.9811,115.2
28,1028,logreg,0.9978,115.2
29,1029,lgbm,0.98,115.5
29,1029,logreg,0.9944,115.5
30,1030,lgbm,0.9844,115.3
30,1030,logreg,0.9933,115.3
31,1031,lgbm,0.9722,115.4
31,1031,logreg,0.9978,115.4
32,1032,lgbm,0.9756,115.4
32,1032,logreg,0.9933,115.4
33,1033,lgbm,0.9844,115.8
33,1033,logreg,0.9944,115.8
34,1034,lgbm,0.9767,114.7
34,1034,logreg,0.9978,114.7
35,1035,lgbm,0.9767,115.9
35,1035,logreg,0.9956,115.9
36,1036,lgbm,0.97,115.2
36,1036,logreg,0.9956,115.2
37,1037,lgbm,0.9756,116.4
37,1037,logreg,0.9922,116.4
38,1038,lgbm,0.9667,115.7
38,1038,logreg,0.9978,115.7
39,1039,lgbm,0.9867,115.7
39,1039,logreg,0.9989,115.7
40,1040,lgbm,0.9378,115.9
40,1040,logreg,0.9956,115.9
41,1041,lgbm,0.9722,115.4
41,1041,logreg,0.9922,115.4
42,1042,lgbm,0.9822,115.4
42,1042,logreg,0.9944,115.4
43,1043,lgbm,0.9722,115.4
43,1043,logreg,0.9978,115.4
44,1044,lgbm,0.9622,115.4
44,1044,logreg,0.9967,115.4
45,1045,lgbm,0.9767,115.2
45,1045,logreg,0.9978,115.2
46,1046,lgbm,0.9889,115.5
46,1046,logreg,0.9978,115.5
47,1047,lgbm,0.9944,115.5
47,1047,logreg,0.9978,115.5
48,1048,lgbm,0.9856,115.7
48,1048,logreg,0.9989,115.7
49,1049,lgbm,0.9667,115.3
49,1049,logreg,0.9933,115.3
